Structure on Masterlist,Average RFU,StDev,% CV
Fuca1-2Galb-Sp8,307.4429,55.3921318,18.017047
Fuca1-2Galb1-3GlcNAcb-Sp0,72.359125,33.70809467,46.58444207
Fuca1-2Galb1-3GlcNAcb-Sp8,160.20845,9.34474926,5.832869153
Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp0,4400.826475,418.8544401,9.517631347
Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp8,8078.1517,820.4765039,10.15673553
Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,7521.188625,324.9324115,4.320226864
Galb-Sp8,367.782775,26.57027869,7.224448913
Galb1-4Glcb-Sp0,90.358775,2.72382757,3.014458274
Galb1-4Glcb-Sp0,90.358775,2.72382757,3.014458274
Galb1-4Glcb-Sp8,235.12145,70.11767794,29.82189755
Galb1-4Glcb-Sp8,235.12145,70.11767794,29.82189755
Galb1-3GalNAca-Sp8,267.3032,22.05930163,8.252539299
Galb1-3GlcNAcb-Sp0,156.09655,22.81888174,14.61844079
Galb1-3GlcNAcb-Sp8,139.362,53.31245085,38.25465396
Galb1-3GalNAca-Sp14,169.019525,43.47938319,25.72447366
Galb1-3GalNAca-Sp16,81.48995,23.49289111,28.82918828
Gala1-3Galb1-4Glc-Sp10,123.0816,40.52295617,32.92365079
Gala1-3Galb1-4Glcb-Sp0,122.575075,7.293254648,5.950030745
Gala1-3(Fuca1-2)Galb-Sp8,135.78865,15.01686231,11.05899669
Gala1-3(Fuca1-2)Galb-Sp18,42.7825,13.62354592,31.84373498
Gala1-4Galb1-4GlcNAcb-Sp0,81.084375,20.69914942,25.52791388
Gala1-4Galb1-4GlcNAcb-Sp8,64.839025,18.10702776,27.92612591
Galb1-3(Fuca1-4)GlcNAc-Sp0 ,204.3976,9.1998323,4.500949277
Galb1-3(Fuca1-4)GlcNAc-Sp8 ,63.2759,3.284386673,5.190580732
Galb1-4GlcNAcb1-3Galb1-4Glcb-Sp0,94.60775,20.28659683,21.44284885
Galb1-4GlcNAcb1-3Galb1-4Glcb-Sp8,75.3876,11.9222177,15.81456061
Gala1-3(Fuca1-2)Galb1-4GlcNAc-Sp0,139.021325,54.34465437,39.09087643
Gala1-3Galb1-4(Fuca1-3)GlcNAcb-Sp8,102.131125,23.16042926,22.67715083
Galb1-3GlcNAcb1-3Galb1-4GlcNAcb-Sp0,86.060625,22.42530438,26.05756626
Gala1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,228.504775,51.31760846,22.45800267
Gala1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp8,121.015825,13.66493201,11.29185543
Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,163.07945,30.76226919,18.86336334
Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,171.532875,15.69690909,9.150962516
Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,33.97355,4.690239151,13.80556095
GalNAcb1-4GlcNAcb-Sp0,36.924025,18.19860818,49.28663163
GalNAcb1-4GlcNAcb-Sp8,115.923525,14.7380879,12.71362987
GlcNAcb1-3Galb1-4Glcb-Sp0,52.29635,2.660465179,5.087286549
GalNAca1-3(Fuca1-2)Galb-Sp8,42.557075,19.26674182,45.27271157
GalNAca1-3(Fuca1-2)Galb-Sp18,115.2524,53.03497689,46.01637527
GlcNAcb1-3Galb1-4GlcNAcb-Sp0,109.5219,9.607026284,8.771785628
GlcNAcb1-3Galb1-4GlcNAcb-Sp8,44.5945,33.51311046,75.15077074
