Structure on Masterlist,Average RFU,StDev,% CV
Fuca1-2Galb-Sp8,34.9755,85.53496025,244.5567905
Fuca1-2Galb1-3GlcNAcb-Sp0,47.121125,54.34363902,115.3275501
Fuca1-2Galb1-3GlcNAcb-Sp8,-27.115175,20.19902447,-74.49343207
Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp0,-21.58315,7.742711883,-35.87387329
Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp8,116.654125,119.6175659,102.5403653
Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,5.587425,14.71355864,263.3334432
Galb-Sp8,193.7094,64.72915036,33.41559592
Galb1-4Glcb-Sp0,18.8896,32.10357988,169.9537305
Galb1-4Glcb-Sp0,18.8896,32.10357988,169.9537305
Galb1-4Glcb-Sp8,283.89845,144.2667733,50.81633002
Galb1-4Glcb-Sp8,283.89845,144.2667733,50.81633002
Galb1-3GalNAca-Sp8,38.344075,69.39985972,180.9923951
Galb1-3GlcNAcb-Sp0,132.225275,163.3164866,123.5138188
Galb1-3GlcNAcb-Sp8,146.2497,49.64684458,33.94663003
Galb1-3GalNAca-Sp14,2585.628025,362.9743221,14.03814929
Galb1-3GalNAca-Sp16,-10.86035,4.140092102,-38.12116647
Gala1-3Galb1-4Glc-Sp10,-6.588875,36.21856985,-549.6927753
Gala1-3Galb1-4Glcb-Sp0,136.434425,114.0947519,83.62607302
Gala1-3(Fuca1-2)Galb-Sp8,33.943175,51.11109395,150.5784122
Gala1-3(Fuca1-2)Galb-Sp18,2.331125,31.30899473,1343.085194
Gala1-4Galb1-4GlcNAcb-Sp0,105.7099,98.41411099,93.09829163
Gala1-4Galb1-4GlcNAcb-Sp8,16.61445,7.388480191,44.4702063
Galb1-3(Fuca1-4)GlcNAc-Sp0 ,89.0679,38.28475038,42.98378021
Galb1-3(Fuca1-4)GlcNAc-Sp8 ,14.044025,45.20119189,321.8535419
Galb1-4GlcNAcb1-3Galb1-4Glcb-Sp0,-5.41265,37.75277954,-697.4916083
Galb1-4GlcNAcb1-3Galb1-4Glcb-Sp8,80.0329,31.5031181,39.36270972
Gala1-3(Fuca1-2)Galb1-4GlcNAc-Sp0,151.42105,91.23559333,60.25291287
Gala1-3Galb1-4(Fuca1-3)GlcNAcb-Sp8,132.189575,60.92173264,46.08663931
Galb1-3GlcNAcb1-3Galb1-4GlcNAcb-Sp0,130.72105,114.9758388,87.95510652
Gala1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,383.11215,246.9581475,64.46105859
Gala1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp8,64.1192,56.29364216,87.79529713
Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,38.21045,70.75911539,185.1826278
Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,3.4123,62.63381518,1835.530732
Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,249.2051,64.19418993,25.75958114
GalNAcb1-4GlcNAcb-Sp0,16.22855,5.548557068,34.1900975
GalNAcb1-4GlcNAcb-Sp8,26.55265,39.41117884,148.4265369
GlcNAcb1-3Galb1-4Glcb-Sp0,97.047725,89.86843851,92.60231346
GalNAca1-3(Fuca1-2)Galb-Sp8,1.37825,8.379620495,607.9898781
GalNAca1-3(Fuca1-2)Galb-Sp18,-46.588925,21.17700089,-45.45501081
GlcNAcb1-3Galb1-4GlcNAcb-Sp0,233.936075,145.785534,62.31853468
GlcNAcb1-3Galb1-4GlcNAcb-Sp8,-5.18995,12.05856251,-232.3444832
GalNAca1-3(Fuca1-2)Galb1-4Glcb-Sp0,9.0419,13.47069717,148.9808245
GalNAcb1-3Gala1-4Galb1-4GlcNAcb-Sp0,14.40385,15.36115733,106.6461907
GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,16.210725,24.95664084,153.951417
KDNa2-3Galb1-4GlcNAcb-Sp0,121.755875,130.1011897,106.8541372
Mana-Sp8,89.940875,48.35153294,53.75924232
Manb-Sp8,962.841625,86.21895247,8.954634929
Mana1-6(Mana1-3)Mana-Sp9,185.75055,120.8165878,65.04238498
Neu5Aca2-6GalNAca-Sp8,11.09875,31.62807862,284.9697364
Neu5Aca2-3Galb1-4Glcb-Sp0,605.244075,59.934298,9.902500573
Neu5Aca2-3Galb1-4Glcb-Sp8,385.791025,243.4497282,63.10404142
Neu5Aca2-3Galb1-4GlcNAcb-Sp0,2249.944175,152.2445977,6.766594452
Neu5Aca2-3Galb1-4GlcNAcb-Sp8,245.9272,234.426991,95.32373443
Neu5Aca2-6Galb1-4GlcNAcb-Sp0,163.053725,118.9913326,72.9767643
Neu5Aca2-6Galb1-4GlcNAcb-Sp8,45.1826,97.13433158,214.9817221
"Neu5,9Ac2a2-3Galb1-4GlcNAcb-Sp0",705.8942,234.1909742,33.17649786
Neu5Aca2-3GalNAcb1-4GlcNAcb-Sp0,-41.0593,13.54771402,-32.99548219
Neu5Aca2-6GalNAcb1-4GlcNAcb-Sp0,26.91895,44.25655767,164.4067011
Neu5Aca2-8Neu5Aca2-3Galb1-4Glcb-Sp0,5.451225,13.61536046,249.7669874
Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,65.720325,30.72212002,46.74675608
Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb-Sp8,-0.2032,7.672899868,-3776.0334
Neu5Aca2-3Galb1-3GlcNAcb1-3Galb1-4GlcNAcb-Sp0,41.31425,63.72329364,154.2404706
Neu5Aca2-3Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp0,1448.8593,85.88963792,5.928086869
Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,106.92375,62.70962599,58.6489213
Neu5Gca2-3Galb1-3GlcNAcb-Sp0,119.67555,172.3519232,144.0159859
Neu5Gca2-3Galb1-4GlcNAcb-Sp0,68.2146,68.52929689,100.4613336
