Structure on Masterlist,Average RFU,StDev,% CV
Fuca1-2Galb-Sp8,1182.279325,300.9425706,25.45443908
Fuca1-2Galb1-3GlcNAcb-Sp0,24.697375,9.008130931,36.474042
Fuca1-2Galb1-3GlcNAcb-Sp8,9.47495,11.70594573,123.5462534
Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp0,25156.11395,1846.225105,7.339071164
Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp8,22512.33858,1482.686144,6.586104499
Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,37.3884,34.77939546,93.02188771
Galb-Sp8,13.15915,3.599357928,27.35251083
Galb1-4Glcb-Sp0,4.018575,5.950413781,148.0727318
Galb1-4Glcb-Sp0,4.018575,5.950413781,148.0727318
Galb1-4Glcb-Sp8,3.554275,8.383101819,235.859685
Galb1-4Glcb-Sp8,3.554275,8.383101819,235.859685
Galb1-3GalNAca-Sp8,-6.341175,9.329501254,-147.1257496
Galb1-3GlcNAcb-Sp0,-3.875275,3.320433228,-85.68251874
Galb1-3GlcNAcb-Sp8,-14.471325,6.297678859,-43.51832924
Galb1-3GalNAca-Sp14,9.7737,9.585553977,98.07497649
Galb1-3GalNAca-Sp16,-6.215175,5.295865992,-85.20863841
Gala1-3Galb1-4Glc-Sp10,-5.568175,10.88596069,-195.5032069
Gala1-3Galb1-4Glcb-Sp0,-5.948175,9.256842794,-155.6249235
Gala1-3(Fuca1-2)Galb-Sp8,3.1173,5.106461498,163.8103968
Gala1-3(Fuca1-2)Galb-Sp18,0.811875,9.423399048,1160.695803
Gala1-4Galb1-4GlcNAcb-Sp0,10.1358,12.36476859,121.9910474
Gala1-4Galb1-4GlcNAcb-Sp8,-10.88315,14.25758598,-131.0060597
Galb1-3(Fuca1-4)GlcNAc-Sp0 ,8.723675,7.784177903,89.23048948
Galb1-3(Fuca1-4)GlcNAc-Sp8 ,-0.50565,10.10739547,-1998.891618
Galb1-4GlcNAcb1-3Galb1-4Glcb-Sp0,-0.22885,4.841861766,-2115.73597
Galb1-4GlcNAcb1-3Galb1-4Glcb-Sp8,-5.320125,8.510011274,-159.9588595
Gala1-3(Fuca1-2)Galb1-4GlcNAc-Sp0,9.51485,3.317073339,34.86206655
Gala1-3Galb1-4(Fuca1-3)GlcNAcb-Sp8,-9.237075,2.435462384,-26.36616444
Galb1-3GlcNAcb1-3Galb1-4GlcNAcb-Sp0,2.6141,3.193736517,122.1734638
Gala1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,62.348275,22.5496489,36.16723782
Gala1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp8,7.093875,6.856721149,96.65692092
Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,13.656325,47.22590864,345.8171114
GalNAcb1-4GlcNAcb-Sp0,-11.995175,8.955575123,-74.65981216
GalNAcb1-4GlcNAcb-Sp8,70.322,8.183367549,11.63699489
GlcNAcb1-3Galb1-4Glcb-Sp0,12.001875,19.46788544,162.2070338
GalNAca1-3(Fuca1-2)Galb-Sp8,-14.21185,6.02485105,-42.39315114
GalNAca1-3(Fuca1-2)Galb-Sp18,-7.161025,14.42145728,-201.388171
GlcNAcb1-3Galb1-4GlcNAcb-Sp0,-4.487075,8.943646939,-199.3202017
GlcNAcb1-3Galb1-4GlcNAcb-Sp8,-9.32775,9.65600886,-103.5191644
GalNAca1-3(Fuca1-2)Galb1-4Glcb-Sp0,11.617425,7.461107791,64.22342121
GalNAcb1-3Gala1-4Galb1-4GlcNAcb-Sp0,-13.960875,13.88624148,-99.46540945
GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,-0.5441,1.58017603,-290.4201489
KDNa2-3Galb1-4GlcNAcb-Sp0,-7.8139,3.617542382,-46.2962462
Mana-Sp8,8.503775,13.73701154,161.5401576
Manb-Sp8,5.435025,11.54550492,212.4278162
Mana1-6(Mana1-3)Mana-Sp9,-5.963525,6.176167411,-103.5657168
"Neu5,9Ac2a2-3Galb1-4GlcNAcb-Sp0",9.138075,17.50211051,191.5295127
"Neu5,9Ac2a2-3Galb1-4GlcNAcb-Sp0",-7.4495,14.53950128,-195.17419
Neu5Aca2-6GalNAca-Sp8,-18.605075,3.942223866,-21.18897057
Neu5Aca2-3Galb1-4Glcb-Sp0,8.674125,8.344257966,96.19711459
Neu5Aca2-3Galb1-4Glcb-Sp8,0.090275,16.60826836,18397.41718
Neu5Aca2-3Galb1-4GlcNAcb-Sp0,-11.993175,10.27190378,-85.64791041
Neu5Aca2-3Galb1-4GlcNAcb-Sp8,-6.2899,3.693653558,-58.72356568
Neu5Aca2-6Galb1-4GlcNAcb-Sp0,-11.7936,7.854988926,-66.60382688
Neu5Aca2-6Galb1-4GlcNAcb-Sp8,-9.884725,5.447179297,-55.10703937
Neu5Aca2-3GalNAcb1-4GlcNAcb-Sp0,-11.0461,3.171444416,-28.71098774
Neu5Aca2-6GalNAcb1-4GlcNAcb-Sp0,-1.1926,4.807073687,-403.0751037
Neu5Aca2-8Neu5Aca2-3Galb1-4Glcb-Sp0,-2.41135,1.968734945,-81.6445122
Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,-6.727125,5.061303714,-75.23724792
Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb-Sp8,-5.61935,5.383715603,-95.80673215
Neu5Aca2-3Galb1-3GlcNAcb1-3Galb1-4GlcNAcb-Sp0,-24.6108,12.94221958,-52.58756148
Neu5Aca2-3Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp0,-6.0809,9.269584007,-152.4376985
Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,10.22625,7.325681045,71.63604494
Neu5Gca2-3Galb1-3GlcNAcb-Sp0,3.615975,1.599091186,44.22296024
Neu5Gca2-3Galb1-4GlcNAcb-Sp0,-5.5611,5.318571798,-95.63884479
