Structure on Masterlist,IUPAC
Gala-Sp8,Gal(a1-Sp8
Glca-Sp8,Glc(a1-Sp8
Mana-Sp8,Man(a1-Sp8
GalNAca-Sp8,GalNAc(a1-Sp8
GalNAca-Sp15,GalNAc(a1-Sp15
Fuca-Sp8,Fuc(a1-Sp8
Fuca-Sp9,Fuc(a1-Sp9
Rhaa-Sp8,Rha(a1-Sp8
Neu5Aca-Sp8,Neu5Ac(a1-Sp8
Neu5Aca-Sp11,Neu5Ac(a1-Sp11
Neu5Acb-Sp8,Neu5Ac(b1-Sp8
Galb-Sp8,Gal(b1-Sp8
Glcb-Sp8,Glc(b1-Sp8
Manb-Sp8,Man(b1-Sp8
GalNAcb-Sp8,GalNAc(b1-Sp8
GlcNAcb-Sp0,GlcNAc(b1-Sp0
GlcNAcb-Sp8,GlcNAc(b1-Sp8
GlcN(Gc)b-Sp8,GlcN(Gc)(b1-Sp8
Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8
Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(b1-Sp14
GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(b1-Sp8
6S(3S)Galb1-4(6S)GlcNAcb-Sp0,6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0
6S(3S)Galb1-4GlcNAcb-Sp0,6S(3S)Gal(b1-4)GlcNAc(b1-Sp0
(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(1-Sp0
(3S)Galb1-4Glcb-Sp8,(3S)Gal(b1-4)Glc(b1-Sp8
(3S)Galb1-4(6S)Glcb-Sp0,(3S)Gal(b1-4)(6S)Glc(b1-Sp0
(3S)Galb1-4(6S)Glcb-Sp8,(3S)Gal(b1-4)(6S)Glc(b1-Sp8
(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8
(3S)Galb1-3GalNAca-Sp8,(3S)Gal(b1-3)GalNAc(a1-Sp8
(3S)Galb1-3GlcNAcb-Sp0,(3S)Gal(b1-3)GlcNAc(b1-Sp0
(3S)Galb1-3GlcNAcb-Sp8,(3S)Gal(b1-3)GlcNAc(b1-Sp8
(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(1-Sp0
(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(1-Sp8
(3S)Galb1-4(6S)GlcNAcb-Sp0,(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0
(3S)Galb1-4(6S)GlcNAcb-Sp8,(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8
