Mod,EnPos,EnNeg,total
3'SLN,0.264208943,0.668239726,0.395380479
6'SLN,0.096790123,0.342013295,0.283001055
D11,0.652414124,0.205140524,3.180327869
D14,0.50713686,0.121466555,4.175115207
D21,2.558676818,0.196377002,13.02941176
D8,0.893843368,0.260751471,3.427951389
D9,0.286046963,0.496992043,0.575556423
Di-N3,0.161089101,0.898339375,0.179318758
galf,0.255200898,1.345159469,0.189717951
galf-di,0.401427297,0.481712756,0.833333333
galf-tri,0.708021628,0.534513441,1.324609587
galf4_low,0.378768994,0.469292345,0.807106696
galf4_mid,0.541429818,0.453325901,1.194350063
galf4-high,0.535573201,0.430667383,1.243588956
Lac_mid,0.461211748,0.376818365,1.22396303
Man_high1,0.595111344,1.092524556,0.544712099
Man_high2,0.448513723,1.057151735,0.424266175
Man_mid,0.567809989,0.839193456,0.676613938
PZ-10048,0.441352896,0.449598784,0.98165945
PZ-5080,0.261968986,0.428896511,0.61079766
PZ-8015,0.843091067,0.523639635,1.610059688
Te100,0.273188406,0.146376812,1.866336634
Te101,0.126243183,0.284889317,0.443130631
Te102,0.409760177,0.38736075,1.057825752
Te118,1.083333333,0.305555556,3.545454545
Te119,1.713887922,0.516533241,3.318059299
Te140,0.435198724,0.175860694,2.47467876
Te193,0.50569981,0.427248258,1.18362053
Te201,0.818483747,0.336002368,2.435946369
Te212,0.429754615,0.26327151,1.632362784
Te221,1.132118303,0.212965365,5.315973808
Te222,0.875813008,0.212601626,4.119502868
Te223,0.685257483,0.139617029,4.908122503
Te224,1.039493294,0.271024058,3.835428123
Te271,0.531418753,0.154393716,3.441971383
Te286,0.996989211,0.328677762,3.033333333
Te288,0.323762981,0.106291998,3.045977011
Te291,0.546335622,0.366681011,1.489947954
Te302,2.68575359,0.250537357,10.71997255
Te303,0.574471964,0.334453212,1.717645227
Te305,0.204032079,0.272463024,0.748843188
Te306,1.018311824,0.310802731,3.276392786
Te64,0.225575854,0.247815727,0.91025641
Te72,0.810618617,0.492862108,1.644716858
Te79,0.826068557,0.131189166,6.296774194
Tr116,0.1528187,0.276762915,0.552164656
Tr269,0.305559445,0.304235465,1.004351829
Tr32,0.41362795,0.341112966,1.212583485
Tr322,0.353755322,0.31272447,1.131204482
Tr33,0.303339394,0.310967227,0.975470622
Tr38,0.203327172,0.085027726,2.391304348
Tr40,0.146040645,0.310301331,0.470641373
Tr41,0.516868484,0.378812407,1.364444444
Tr47,0.424658983,0.430087061,0.987379118
Tr54,0.169022046,0.243075184,0.695348837
Tr55,0.583943882,0.178332034,3.274475524
Tr57,0.567198178,0.093394077,6.073170732
Tr59,0.375836108,0.386334323,0.972826087
Tr62,1.613029498,0.147909968,10.90548204
Tri-AN3,0.956377692,0.684152402,1.397901533
Tri-BN3,0.67119544,0.777543531,0.863225547
Ty-176,0.773394228,0.533004704,1.45100826
