Mod,EnPos,EnNeg,total
3'SLN,0.792626828,0.668239726,1.186141436
6'SLN,0.210921178,0.342013295,0.616704615
D11,1.313956282,0.205140524,6.405152225
D14,0.972292191,0.121466555,8.004608295
D21,0.531373064,0.196377002,2.705882353
D8,1.177003169,0.260751471,4.513888889
D9,0.633611488,0.496992043,1.27489262
Di-N3,0.243867487,0.898339375,0.271464765
galf,0.446525438,1.345159469,0.331949816
galf-di,0.827832293,0.481712756,1.718518519
galf-tri,1.104703216,0.534513441,2.066745441
galf4_low,0.734859904,0.469292345,1.565889392
galf4_mid,0.787536948,0.453325901,1.737242339
galf4-high,1.054307706,0.430667383,2.448078837
Lac_mid,1.004962235,0.376818365,2.666967238
Man_high1,0.85472745,1.092524556,0.782341637
Man_high2,1.031092698,1.057151735,0.975349767
Man_mid,0.77934845,0.839193456,0.928687473
PZ-10048,0.810708577,0.449598784,1.803182314
PZ-5080,0.452673527,0.428896511,1.055437652
PZ-8015,1.30344265,0.523639635,2.489197845
Te100,0.432608696,0.146376812,2.955445545
Te101,0.141161373,0.284889317,0.495495495
Te102,0.736254219,0.38736075,1.900693909
Te118,1.388888889,0.305555556,4.545454545
Te119,0.766446223,0.516533241,1.483827493
Te140,0.814036953,0.175860694,4.628873772
Te193,0.698780874,0.427248258,1.635538262
Te201,0.348744677,0.336002368,1.037923273
Te212,0.752323891,0.26327151,2.857597055
Te221,0.980996238,0.212965365,4.606365159
Te222,1.145325203,0.212601626,5.387189293
Te223,1.318274772,0.139617029,9.44207723
Te224,1.320097935,0.271024058,4.87077769
Te271,0.80436917,0.154393716,5.209856916
Te286,1.238354102,0.328677762,3.767684478
Te288,0.782406842,0.106291998,7.36091954
Te291,1.558478493,0.366681011,4.250229615
Te302,0.977731923,0.250537357,3.902539465
Te303,1.14248509,0.334453212,3.415978819
Te305,2.111530065,0.272463024,7.749785775
Te306,0.406821466,0.310802731,1.308937876
Te64,0.675138999,0.247815727,2.724358974
Te72,1.745174571,0.492862108,3.540898243
Te79,1.66483284,0.131189166,12.69032258
Tr116,0.312905127,0.276762915,1.13058907
Tr269,0.478822676,0.304235465,1.573855553
Tr32,1.038095608,0.341112966,3.043260474
Tr322,1.033339757,0.31272447,3.304313725
Tr33,0.830901592,0.310967227,2.671990873
Tr38,0.414048059,0.085027726,4.869565217
Tr40,0.417659425,0.310301331,1.345980126
Tr41,1.638671243,0.378812407,4.325811966
Tr47,1.138345494,0.430087061,2.646779217
Tr54,0.318258903,0.243075184,1.309302326
Tr55,1.18690569,0.178332034,6.655594406
Tr57,0.938496583,0.093394077,10.04878049
Tr59,0.367437536,0.386334323,0.951086957
Tr62,1.002376625,0.147909968,6.776937618
Tri-AN3,0.583655439,0.684152402,0.853107345
Tri-BN3,0.703677676,0.777543531,0.905001004
Ty-176,0.782100334,0.533004704,1.467342273
