Mod,EnPos,EnNeg,total
3'SLN,0.334477048,0.302828259,1.104510687
6'SLN,0.239734093,0.136125356,1.761127389
D11,0.263752102,0.085034831,3.101694915
D14,0.559193955,0.048138819,11.61627907
D21,0.304804411,0.086899449,3.50755287
D8,0.291760978,0.088954278,3.279898219
D9,0.266834853,0.172520862,1.546681665
Di-N3,0.323442637,0.327235944,0.988408037
galf,0.27634075,0.565154774,0.488964728
galf-di,0.415700268,0.203389831,2.043859649
galf-tri,0.32281109,0.233500762,1.3824841
galf4_low,0.308952893,0.197713293,1.56263086
galf4_mid,0.337247596,0.205267752,1.642964339
galf4-high,0.309356801,0.199153832,1.553356008
Lac_mid,0.249216024,0.154572547,1.612291629
Man_high1,0.434093124,0.372235135,1.166179877
Man_high2,0.28093216,0.259347488,1.083226837
Man_mid,0.378480195,0.35790399,1.057490853
PZ-10048,0.300318124,0.187645411,1.600455466
PZ-5080,0.164929457,0.16268718,1.013782751
PZ-8015,0.322401622,0.252641449,1.276123231
Te100,0.596376812,0.053623188,11.12162162
Te101,0.190728264,0.098331729,1.939641109
Te102,0.295552967,0.129797211,2.277036355
Te118,0.458333333,0.125,3.666666667
Te119,0.381482771,0.206752523,1.845117845
Te140,0.131596438,0.065000665,2.024539877
Te193,0.606158961,0.177723243,3.410690423
Te201,0.183670114,0.125137699,1.467744055
Te212,0.534076391,0.107097229,4.986836693
Te221,0.138442081,0.080068751,1.729040097
Te222,0.159756098,0.080081301,1.994923858
Te223,0.204498978,0.050752928,4.029304029
Te224,0.352352565,0.103576751,3.401849949
Te271,0.208394698,0.062346588,3.342519685
Te286,1.384377352,0.131387472,10.53660089
Te288,0.273915699,0.076481368,3.581469649
Te291,0.345314049,0.151290063,2.282463517
Te302,0.258447253,0.104720144,2.467980296
Te303,1.367398495,0.125270203,10.91559252
Te305,0.176342178,0.092221846,1.912151899
Te306,0.241442025,0.114181075,2.114553786
Te64,0.441620334,0.058776807,7.513513514
Te72,0.181093942,0.199219377,0.909017713
Te79,0.073635209,0.044011849,1.673076923
Tr116,0.267236299,0.080043214,3.338650307
Tr269,0.173492381,0.113811409,1.524384787
Tr32,0.303340971,0.132059596,2.297000588
Tr322,0.168398185,0.126105923,1.335370936
Tr33,0.221916715,0.12523837,1.771954674
Tr38,0.613678373,0.014787431,41.5
Tr40,0.287596356,0.106517169,2.7
Tr41,0.231043191,0.122644564,1.883843717
Tr47,0.309752917,0.151281238,2.047530289
Tr54,0.236856981,0.134539288,1.760504202
Tr55,0.253156664,0.057677319,4.389189189
Tr57,0.048595292,0.044039484,1.103448276
Tr59,0.283031885,0.145415279,1.946369637
Tr62,0.185097162,0.076890815,2.407272727
Tri-AN3,0.369409166,0.285201546,1.295256534
Tri-BN3,0.334504568,0.351838838,0.950732357
Ty-176,0.252136729,0.247042614,1.020620389
