Mod,EnPos,EnNeg,total
3'SLN,0.675166957,0.668239726,1.010366387
6'SLN,0.43042735,0.342013295,1.258510579
D11,0.884458323,0.205140524,4.31147541
D14,0.803806325,0.121466555,6.617511521
D21,0.285376739,0.196377002,1.453208556
D8,0.755998189,0.260751471,2.899305556
D9,0.725402678,0.496992043,1.459586099
Di-N3,0.648571188,0.898339375,0.721966782
galf,0.842599466,1.345159469,0.626393736
galf-di,0.840321142,0.481712756,1.744444444
galf-tri,1.312718443,0.534513441,2.45591288
galf4_low,0.926084746,0.469292345,1.973364271
galf4_mid,0.993274118,0.453325901,2.191081772
galf4-high,0.858254904,0.430667383,1.992848629
Lac_mid,0.68812957,0.376818365,1.826157199
Man_high1,1.877446202,1.092524556,1.718447601
Man_high2,1.543241844,1.057151735,1.459811106
Man_mid,0.886696326,0.839193456,1.056605387
PZ-10048,0.968076856,0.449598784,2.153201676
PZ-5080,0.501959217,0.428896511,1.170350432
PZ-8015,1.203456372,0.523639635,2.298253021
Te100,0.51884058,0.146376812,3.544554455
Te101,0.360442733,0.284889317,1.265202703
Te102,0.553474898,0.38736075,1.428835775
Te118,1.75,0.305555556,5.727272727
Te119,0.94326488,0.516533241,1.826145553
Te140,0.655855377,0.175860694,3.729402872
Te193,0.696010133,0.427248258,1.629053178
Te201,0.457933937,0.336002368,1.362889019
Te212,0.655094938,0.26327151,2.488286479
Te221,0.968413543,0.212965365,4.547281864
Te222,0.805081301,0.212601626,3.786806883
Te223,0.914296338,0.139617029,6.548601864
Te224,0.862997658,0.271024058,3.184210526
Te271,0.743740795,0.154393716,4.817170111
Te286,0.525549887,0.328677762,1.598982188
Te288,0.616004887,0.106291998,5.795402299
Te291,0.801728815,0.366681011,2.186447597
Te302,0.630384318,0.250537357,2.516129032
Te303,0.448628799,0.334453212,1.341379847
Te305,0.341057399,0.272463024,1.251756641
Te306,0.379291445,0.310802731,1.220360721
Te64,0.687847498,0.247815727,2.775641026
Te72,0.981446827,0.492862108,1.991321328
Te79,1.011426153,0.131189166,7.709677419
Tr116,0.41426046,0.276762915,1.496806246
Tr269,0.492877239,0.304235465,1.620051887
Tr32,0.665398108,0.341112966,1.950667881
Tr322,0.522363741,0.31272447,1.670364146
Tr33,0.545123952,0.310967227,1.752994866
Tr38,0.909426987,0.085027726,10.69565217
Tr40,0.621723896,0.310301331,2.003613369
Tr41,1.187852101,0.378812407,3.135726496
Tr47,0.839448733,0.430087061,1.951811178
Tr54,0.446014698,0.243075184,1.834883721
Tr55,0.863912705,0.178332034,4.844405594
Tr57,0.833712984,0.093394077,8.926829268
Tr59,0.68994271,0.386334323,1.785869565
Tr62,0.819236684,0.147909968,5.538752363
Tri-AN3,1.229983435,0.684152402,1.797820823
Tri-BN3,1.382369017,0.777543531,1.777867042
Ty-176,0.882215062,0.533004704,1.655173124
