Mod,EnPos,EnNeg,total
3'SLN,0.237020035,0.179526028,1.32025444
6'SLN,0.333414691,0.178249364,1.87049582
D11,0.060593737,0.052867019,1.146153846
D14,0.094587353,0.034833869,2.715384615
D21,0.224328813,0.067533905,3.321721311
D8,0.115071993,0.101950766,1.128701595
D9,0.190001845,0.169894853,1.11834962
Di-N3,0.391623915,0.193962115,2.019074262
galf,0.408725456,0.136424449,2.995983936
galf-di,0.931279621,0.111374408,8.361702128
galf-tri,1.849613201,0.135993891,13.60070801
galf4_low,3.47879908,0.141292902,24.62118792
galf4_mid,2.359120221,0.139613082,16.89755856
galf4-high,0.955506201,0.093135562,10.25930565
Lac_mid,0.133564811,0.133234478,1.002479339
Man_high1,0.09914618,0.162961873,0.608401084
Man_high2,0.088826127,0.13425355,0.66162963
Man_mid,0.133852925,0.152356501,0.878550794
PZ-10048,0.059232848,0.102838001,0.575982105
PZ-5080,0.123341353,0.119472209,1.032385302
PZ-8015,0.111387313,0.155070062,0.718303146
Te100,0.095125786,0.06918239,1.375
Te101,0.284565581,0.130116959,2.186998395
Te102,0.173755681,0.107962516,1.609407484
Te118,0.116071429,0.044642857,2.6
Te119,0.215011038,0.096688742,2.223744292
Te140,0.074559736,0.047510452,1.569333333
Te193,0.147730956,0.105186386,1.404468413
Te201,0.168256085,0.121915404,1.380105219
Te212,0.108808071,0.081002035,1.343275772
Te221,0.073572891,0.06632363,1.109301329
Te222,0.081045506,0.069198947,1.171195652
Te223,0.062092596,0.061340465,1.01226158
Te224,0.108430799,0.075048733,1.444805195
Te271,0.066318235,0.053658537,1.235930736
Te286,0.148440039,0.110334742,1.345360825
Te288,0.071052001,0.039779535,1.786144578
Te291,0.169143113,0.105984434,1.595924104
Te302,0.10360515,0.093218884,1.111418048
Te303,0.162980623,0.090138988,1.808103545
Te305,0.107927936,0.079032872,1.365608166
Te306,0.138692125,0.097919067,1.416395494
Te64,0.169172932,0.109022556,1.551724138
Te72,0.234175965,0.163622001,1.431200966
Te79,0.085151302,0.040816327,2.086206897
Tr116,0.313307413,0.143358836,2.185476815
Tr269,0.155959043,0.111074861,1.404089471
Tr32,0.173912468,0.120092195,1.448157953
Tr322,0.13435566,0.107566588,1.249046408
Tr33,0.153147968,0.103604002,1.478205128
Tr38,0.164233577,0.03649635,4.5
Tr40,0.387509549,0.169595111,2.28490991
Tr41,0.262070297,0.133642333,1.960982659
Tr47,0.247449916,0.148528656,1.666007905
Tr54,0.168831169,0.161616162,1.044642857
Tr55,0.079427876,0.037735849,2.10483871
Tr57,0.053094233,0.041490858,1.279661017
Tr59,0.208542314,0.169333652,1.23154678
Tr62,0.072126816,0.054953765,1.3125
Tri-AN3,0.14837626,0.117581187,1.261904762
Tri-BN3,0.179511278,0.15429198,1.163451777
Ty-176,0.067074183,0.10714434,0.626017048
