Mod,EnPos,EnNeg,total
3'SLN,1.041357737,0.668239726,1.558359519
6'SLN,0.764159544,0.342013295,2.234297773
D11,0.455440788,0.205140524,2.220140515
D14,0.425972572,0.121466555,3.506912442
D21,0.714623261,0.196377002,3.639037433
D8,0.752602988,0.260751471,2.886284722
D9,1.372404425,0.496992043,2.76142132
Di-N3,0.816488241,0.898339375,0.908886178
galf,0.682299498,1.345159469,0.507225733
galf-di,0.763603925,0.481712756,1.585185185
galf-tri,0.82134947,0.534513441,1.536630154
galf4_low,0.640511877,0.469292345,1.364846207
galf4_mid,1.013297736,0.453325901,2.235252241
galf4-high,0.699663173,0.430667383,1.62460219
Lac_mid,1.207019332,0.376818365,3.203186054
Man_high1,0.645197571,1.092524556,0.590556585
Man_high2,0.566172967,1.057151735,0.535564526
Man_mid,1.086448766,0.839193456,1.294634459
PZ-10048,0.619201367,0.449598784,1.377230964
PZ-5080,0.765149245,0.428896511,1.783995031
PZ-8015,1.072405434,0.523639635,2.047983695
Te100,0.357971014,0.146376812,2.445544554
Te101,0.72425409,0.284889317,2.54222973
Te102,0.623480572,0.38736075,1.609560524
Te118,0.625,0.305555556,2.045454545
Te119,1.092934215,0.516533241,2.115902965
Te140,0.53967832,0.175860694,3.068783069
Te193,1.2959943,0.427248258,3.033351862
Te201,1.178063498,0.336002368,3.506116657
Te212,0.76276488,0.26327151,2.897255689
Te221,0.457809054,0.212965365,2.149687833
Te222,0.647154472,0.212601626,3.043977055
Te223,0.624465514,0.139617029,4.472703063
Te224,1.960187354,0.271024058,7.232521603
Te271,0.578055965,0.154393716,3.744038156
Te286,0.880990215,0.328677762,2.680407125
Te288,0.410507025,0.106291998,3.862068966
Te291,0.932999046,0.366681011,2.544443311
Te302,0.822285272,0.250537357,3.282086479
Te303,0.649113212,0.334453212,1.940819187
Te305,0.346544016,0.272463024,1.271893745
Te306,0.532089292,0.310802731,1.711983968
Te64,0.592533757,0.247815727,2.391025641
Te72,1.040581725,0.492862108,2.11130397
Te79,0.57130766,0.131189166,4.35483871
Tr116,0.974170104,0.276762915,3.51987225
Tr269,0.846303675,0.304235465,2.781739058
Tr32,1.11239693,0.341112966,3.261080753
Tr322,0.847281837,0.31272447,2.709355742
Tr33,0.980619983,0.310967227,3.153451226
Tr38,0.499075786,0.085027726,5.869565217
Tr40,0.640224247,0.310301331,2.063233966
Tr41,0.57825552,0.378812407,1.526495726
Tr47,0.763878608,0.430087061,1.776102278
Tr54,0.772187677,0.243075184,3.176744186
Tr55,0.499454404,0.178332034,2.800699301
Tr57,0.328777525,0.093394077,3.520325203
Tr59,0.996910525,0.386334323,2.580434783
Tr62,0.549140221,0.147909968,3.712665406
Tri-AN3,0.711209277,0.684152402,1.039548023
Tri-BN3,0.867338174,0.777543531,1.115485037
Ty-176,0.988917007,0.533004704,1.855362623
