Mod,EnPos,EnNeg,total
3'SLN,2.425050601,0.668239726,3.629012926
6'SLN,0.308584995,0.342013295,0.902260232
D11,1.461446073,0.205140524,7.12412178
D14,1.366358802,0.121466555,11.24884793
D21,1.273825151,0.196377002,6.486631016
D8,1.177682209,0.260751471,4.516493056
D9,0.920240637,0.496992043,1.851620461
Di-N3,0.523982129,0.898339375,0.583278596
galf,0.521060545,1.345159469,0.387359683
galf-di,0.952720785,0.481712756,1.977777778
galf-tri,0.716548101,0.534513441,1.340561428
galf4_low,0.539261432,0.469292345,1.149094884
galf4_mid,0.490483281,0.453325901,1.081966152
galf4-high,0.840744141,0.430667383,1.952189032
Lac_mid,0.708332448,0.376818365,1.879771566
Man_high1,0.796730899,1.092524556,0.729256743
Man_high2,1.132925945,1.057151735,1.071677705
Man_mid,0.660950057,0.839193456,0.787601539
PZ-10048,0.781175316,0.449598784,1.73749428
PZ-5080,0.575865552,0.428896511,1.34266784
PZ-8015,0.985165195,0.523639635,1.881380114
Te100,0.852173913,0.146376812,5.821782178
Te101,0.323227462,0.284889317,1.134572072
Te102,0.549532599,0.38736075,1.418658443
Te118,1.944444444,0.305555556,6.363636364
Te119,0.556909154,0.516533241,1.078167116
Te140,0.744383889,0.175860694,4.232804233
Te193,0.383153895,0.427248258,0.896794515
Te201,0.369280347,0.336002368,1.099040908
Te212,0.745539451,0.26327151,2.831827309
Te221,0.683746271,0.212965365,3.210598447
Te222,1.22296748,0.212601626,5.752390057
Te223,1.309722997,0.139617029,9.380825566
Te224,1.131786247,0.271024058,4.175962294
Te271,0.792832597,0.154393716,5.135135135
Te286,0.659111817,0.328677762,2.005343511
Te288,1.126206475,0.106291998,10.5954023
Te291,0.855950755,0.366681011,2.334319829
Te302,0.792881094,0.250537357,3.164722032
Te303,0.538375394,0.334453212,1.609718112
Te305,2.51763305,0.272463024,9.240274207
Te306,0.306990881,0.310802731,0.987735471
Te64,0.42573471,0.247815727,1.717948718
Te72,1.414532428,0.492862108,2.870036884
Te79,1.515023275,0.131189166,11.5483871
Tr116,0.416912198,0.276762915,1.506387509
Tr269,0.518312943,0.304235465,1.70365721
Tr32,1.880625995,0.341112966,5.513205829
Tr322,2.616548994,0.31272447,8.366946779
Tr33,1.271098497,0.310967227,4.087564176
Tr38,1.042513863,0.085027726,12.26086957
Tr40,1.902452698,0.310301331,6.130984643
Tr41,0.857475879,0.378812407,2.263589744
Tr47,1.203411935,0.430087061,2.798065891
Tr54,0.528547202,0.243075184,2.174418605
Tr55,1.034138737,0.178332034,5.798951049
Tr57,0.937737282,0.093394077,10.04065041
Tr59,0.388194007,0.386334323,1.004813665
Tr62,1.103033692,0.147909968,7.457466919
Tri-AN3,0.497515185,0.684152402,0.727199354
Tri-BN3,0.590614508,0.777543531,0.759590279
Ty-176,0.677780766,0.533004704,1.271622485
