Mod,EnPos,EnNeg,total
3'SLN,0.450334997,0.668239726,0.673912339
6'SLN,0.178689459,0.342013295,0.522463486
D11,1.164064377,0.205140524,5.674473068
D14,1.057934509,0.121466555,8.709677419
D21,0.278813337,0.196377002,1.419786096
D8,1.044137619,0.260751471,4.004340278
D9,0.420725791,0.496992043,0.846544319
Di-N3,0.358846835,0.898339375,0.399455757
galf,0.562972268,1.345159469,0.418517121
galf-di,0.54058876,0.481712756,1.122222222
galf-tri,1.555274849,0.534513441,2.909702041
galf4_low,0.829927871,0.469292345,1.768466672
galf4_mid,1.071256207,0.453325901,2.363103906
galf4-high,0.949063209,0.430667383,2.203703476
Lac_mid,0.701947376,0.376818365,1.862826871
Man_high1,1.593911674,1.092524556,1.458925263
Man_high2,0.816530295,1.057151735,0.772387036
Man_mid,1.015965844,0.839193456,1.210645575
PZ-10048,0.716537676,0.449598784,1.593726898
PZ-5080,0.320734401,0.428896511,0.747813034
PZ-8015,2.112991508,0.523639635,4.035201631
Te100,0.382608696,0.146376812,2.613861386
Te101,0.176451716,0.284889317,0.619369369
Te102,0.637278619,0.38736075,1.645181187
Te118,1.861111111,0.305555556,6.090909091
Te119,1.017751479,0.516533241,1.970350404
Te140,0.754220391,0.175860694,4.288737717
Te193,0.824572514,0.427248258,1.929961089
Te201,0.438713602,0.336002368,1.305686044
Te212,0.693246399,0.26327151,2.633199465
Te221,0.448890907,0.212965365,2.107811786
Te222,0.935162602,0.212601626,4.398661568
Te223,1.079010969,0.139617029,7.728362184
Te224,0.994464552,0.271024058,3.669285153
Te271,0.638929799,0.154393716,4.138314785
Te286,0.591870871,0.328677762,1.800763359
Te288,0.534392181,0.106291998,5.027586207
Te291,0.869646566,0.366681011,2.371670579
Te302,0.581205399,0.250537357,2.319835278
Te303,0.481600125,0.334453212,1.439962623
Te305,0.35672344,0.272463024,1.309254499
Te306,0.392147093,0.310802731,1.261723447
Te64,0.474980143,0.247815727,1.916666667
Te72,1.0283377,0.492862108,2.086461271
Te79,1.358442658,0.131189166,10.35483871
Tr116,0.213121194,0.276762915,0.770049681
Tr269,0.507619254,0.304235465,1.668507825
Tr32,0.671585569,0.341112966,1.968806922
Tr322,0.559610365,0.31272447,1.789467787
Tr33,0.500687392,0.310967227,1.610096977
Tr38,0.639556377,0.085027726,7.52173913
Tr40,0.21948143,0.310301331,0.707317073
Tr41,0.958233504,0.378812407,2.52957265
Tr47,0.773465863,0.430087061,1.798393706
Tr54,0.310910119,0.243075184,1.279069767
Tr55,1.073421668,0.178332034,6.019230769
Tr57,1.08428246,0.093394077,11.6097561
Tr59,0.238219503,0.386334323,0.616614907
Tr62,0.95568293,0.147909968,6.461247637
Tri-AN3,0.866648261,0.684152402,1.266747377
Tri-BN3,1.345201843,0.777543531,1.730066278
Ty-176,0.992748571,0.533004704,1.862551237
