Mod,EnPos,EnNeg,total
3'SLN,0.410178701,0.668239726,0.61381969
6'SLN,0.142811016,0.342013295,0.417559838
D11,0.372327648,0.205140524,1.81498829
D14,0.150013994,0.121466555,1.235023041
D21,0.200315043,0.196377002,1.020053476
D8,0.450430059,0.260751471,1.727430556
D9,0.307975936,0.496992043,0.619679813
Di-N3,0.247829385,0.898339375,0.275875012
galf,0.368082123,1.345159469,0.273634563
galf-di,0.604817128,0.481712756,1.255555556
galf-tri,1.235826552,0.534513441,2.312058889
galf4_low,0.444643428,0.469292345,0.947476413
galf4_mid,0.892158517,0.453325901,1.968028994
galf4-high,0.652824927,0.430667383,1.515844832
Lac_mid,0.546355483,0.376818365,1.449917343
Man_high1,1.014021144,1.092524556,0.928144945
Man_high2,0.709062662,1.057151735,0.670729318
Man_mid,0.847840126,0.839193456,1.010303549
PZ-10048,0.897694,0.449598784,1.996655754
PZ-5080,0.212128276,0.428896511,0.494590817
PZ-8015,2.672727134,0.523639635,5.104134517
Te100,0.139855072,0.146376812,0.955445545
Te101,0.09849214,0.284889317,0.345720721
Te102,0.361317684,0.38736075,0.932767926
Te118,0.375,0.305555556,1.227272727
Te119,0.70449008,0.516533241,1.363881402
Te140,0.279276884,0.175860694,1.588057445
Te193,0.855525649,0.427248258,2.002408746
Te201,0.554117821,0.336002368,1.649148561
Te212,0.348341337,0.26327151,1.323125837
Te221,0.235860682,0.212965365,1.107507233
Te222,0.289837398,0.212601626,1.363288719
Te223,0.244283324,0.139617029,1.749667111
Te224,0.511070896,0.271024058,1.885703064
Te271,0.214040255,0.154393716,1.386327504
Te286,0.365058125,0.328677762,1.110687023
Te288,0.133903482,0.106291998,1.259770115
Te291,0.503414598,0.366681011,1.372895193
Te302,0.33015218,0.250537357,1.317776253
Te303,0.282990859,0.334453212,0.846129886
Te305,0.206717019,0.272463024,0.758697515
Te306,0.29331307,0.310802731,0.943727455
Te64,0.106433678,0.247815727,0.429487179
Te72,0.83323531,0.492862108,1.690605337
Te79,0.218366483,0.131189166,1.664516129
Tr116,0.181693184,0.276762915,0.656493967
Tr269,0.294280149,0.304235465,0.967277596
Tr32,0.477340686,0.341112966,1.399362477
Tr322,0.300671,0.31272447,0.961456583
Tr33,0.345647257,0.310967227,1.111523103
Tr38,0.092421442,0.085027726,1.086956522
Tr40,0.108199019,0.310301331,0.348690154
Tr41,0.405232144,0.378812407,1.06974359
Tr47,0.478446301,0.430087061,1.112440584
Tr54,0.21085359,0.243075184,0.86744186
Tr55,0.290880748,0.178332034,1.631118881
Tr57,0.123006834,0.093394077,1.317073171
Tr59,0.227481328,0.386334323,0.588819876
Tr62,0.281000979,0.147909968,1.899810964
Tri-AN3,0.696024296,0.684152402,1.017352704
Tri-BN3,0.856406653,0.777543531,1.101425989
Ty-176,0.744190898,0.533004704,1.396218254
