Mod,EnPos,EnNeg,total
3'SLN,0.728441698,0.668239726,1.090090382
6'SLN,6.560949668,0.342013295,19.1833176
D11,0.093202018,0.205140524,0.454332553
D14,0.063252169,0.121466555,0.520737327
D21,1.068259386,0.196377002,5.439839572
D8,0.652784065,0.260751471,2.503472222
D9,2.602173491,0.496992043,5.235845373
Di-N3,1.51454101,0.898339375,1.685934128
galf,0.431920415,1.345159469,0.32109235
galf-di,0.474576271,0.481712756,0.985185185
galf-tri,0.545736977,0.534513441,1.020997669
galf4_low,0.461984962,0.469292345,0.984428933
galf4_mid,0.600415142,0.453325901,1.32446688
galf4-high,0.407229738,0.430667383,0.945578315
Lac_mid,0.827454395,0.376818365,2.195897205
Man_high1,0.555297293,1.092524556,0.508269851
Man_high2,0.34825479,1.057151735,0.329427441
Man_mid,0.802669346,0.839193456,0.956477127
PZ-10048,0.351043793,0.449598784,0.780793466
PZ-5080,1.341636418,0.428896511,3.128112221
PZ-8015,0.727301834,0.523639635,1.388935799
Te100,0.16884058,0.146376812,1.153465347
Te101,0.622874559,0.284889317,2.186373874
Te102,0.447630141,0.38736075,1.155589823
Te118,0.291666667,0.305555556,0.954545455
Te119,0.545770971,0.516533241,1.056603774
Te140,0.137976871,0.175860694,0.784580499
Te193,0.425031666,0.427248258,0.994811933
Te201,0.507554956,0.336002368,1.510569583
Te212,0.290453324,0.26327151,1.103246319
Te221,0.10799066,0.212965365,0.507080859
Te222,0.202235772,0.212601626,0.95124283
Te223,0.152816509,0.139617029,1.094540613
Te224,0.265169257,0.271024058,0.978397486
Te271,0.391507118,0.154393716,2.535771065
Te286,1.263276742,0.328677762,3.84351145
Te288,0.117287721,0.106291998,1.103448276
Te291,0.560106274,0.366681011,1.527502806
Te302,0.740435044,0.250537357,2.955387783
Te303,0.782456963,0.334453212,2.33951098
Te305,0.283156088,0.272463024,1.03924593
Te306,0.415441726,0.310802731,1.336673347
Te64,0.4050834,0.247815727,1.634615385
Te72,1.91054911,0.492862108,3.876437405
Te79,0.077020736,0.131189166,0.587096774
Tr116,0.942054606,0.276762915,3.403832505
Tr269,3.629514583,0.304235465,11.9299523
Tr32,0.556612688,0.341112966,1.631754706
Tr322,0.455193679,0.31272447,1.45557423
Tr33,0.42325602,0.310967227,1.361095265
Tr38,0.103512015,0.085027726,1.217391304
Tr40,0.777855641,0.310301331,2.506775068
Tr41,0.4927799,0.378812407,1.300854701
Tr47,0.495717458,0.430087061,1.152597935
Tr54,0.535330695,0.243075184,2.202325581
Tr55,0.116913484,0.178332034,0.655594406
Tr57,0.015186029,0.093394077,0.162601626
Tr59,1.182818921,0.386334323,3.061645963
Tr62,0.080525654,0.147909968,0.54442344
Tri-AN3,0.521535064,0.684152402,0.762308313
Tri-BN3,0.683844772,0.777543531,0.879493874
Ty-176,1.130432396,0.533004704,2.120867577
