Mod,EnPos,EnNeg,total
Di-N3,5.260389446,0.898339375,5.855681712
Tr116,2.879296798,0.276762915,10.40347764
Te118,0.569444444,0.305555556,1.863636364
Te212,5.768800388,0.26327151,21.91198126
Te223,2.744376278,0.139617029,19.65645806
Tri-AN3,0.588625069,0.684152402,0.860371267
Te221,0.257231807,0.212965365,1.207857469
Tr59,0.37811572,0.386334323,0.978726708
Tr62,0.397036209,0.147909968,2.684310019
Ty-176,0.8332391,0.533004704,1.563286576
Tr57,0.328018223,0.093394077,3.512195122
Tr38,0.373382625,0.085027726,4.391304348
D11,0.453519097,0.205140524,2.210772834
Te302,0.358868541,0.250537357,1.432395333
D8,0.434585785,0.260751471,1.666666667
Te286,1.107384796,0.328677762,3.369211196
Te271,0.223613157,0.154393716,1.448330684
Te101,0.347128649,0.284889317,1.218468468
Te102,1.008631246,0.38736075,2.60385505
PZ-5080,0.237548148,0.428896511,0.553858895
Lac_mid,0.601612549,0.376818365,1.596558461
D9,0.614205317,0.496992043,1.235845373
Te72,1.019301716,0.492862108,2.068127576
Te100,0.172463768,0.146376812,1.178217822
galf,0.25881726,1.345159469,0.192406377
galf-di,0.410347904,0.481712756,0.851851852
galf-tri,1.042568355,0.534513441,1.950499792
galf4_low,0.553678214,0.469292345,1.179815142
galf4_mid,0.845070009,0.453325901,1.864155584
galf4-high,0.624624609,0.430667383,1.450364327
Tri-BN3,0.715233856,0.777543531,0.919863426
Te224,6.766446668,0.271024058,24.96622152
Te222,0.376829268,0.212601626,1.772466539
Te272,0,0,NA
D21,0.652927278,0.196377002,3.32486631
Tr54,0.509327304,0.243075184,2.095348837
Tr55,0.578955573,0.178332034,3.246503497
Tr47,0.713757005,0.430087061,1.659564006
PZ-10048,0.451371413,0.449598784,1.00394269
PZ-8015,1.224214426,0.523639635,2.33789489
Man_high1,0.777873585,1.092524556,0.711996431
Man_high2,0.351196271,1.057151735,0.332209899
Man_mid,0.794022675,0.839193456,0.946173578
Te193,1.346421786,0.427248258,3.151380397
Te201,0.409003469,0.336002368,1.217263652
Te64,0.374900715,0.247815727,1.512820513
Te140,0.35876645,0.175860694,2.040060469
Tr32,0.838621154,0.341112966,2.458485124
3'SLN,0.443126346,0.668239726,0.663124818
Tr33,0.47434476,0.310967227,1.525385054
6'SLN,0.241576448,0.342013295,0.706336425
D14,0.276518332,0.121466555,2.276497696
Te79,0.484130343,0.131189166,3.690322581
Te119,1.154194222,0.516533241,2.234501348
Te306,0.476979421,0.310802731,1.534669339
Te305,0.55078622,0.272463024,2.021508141
Tr41,0.655183578,0.378812407,1.72957265
Tr40,0.260126139,0.310301331,0.838301716
Tr322,0.39702868,0.31272447,1.269579832
Te303,2.045889002,0.334453212,6.117115714
Te291,0.805021797,0.366681011,2.195428105
Te288,0.178375076,0.106291998,1.67816092
Tr269,0.542679278,0.304235465,1.783747594
