Mod,totalEN,totalStd,Glytoucan,Order,Mod2,IUPAC,CommonName2,x_label
3'SLN,0.9261083097953657,0.18861357824172564,G04307DP-[NA],0,3'SLN-[NA],Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp-[NA],3'SLN-[NA],3'SLN-[NA]
6'SLN,2.055524053466354,0.47254811552069315,G73578JC-[NA],0,6'SLN-[NA],Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-Sp-[NA],6'SLN-[NA],6'SLN-[NA]
D11,1.2381320447224953,0.7018230805246201,G97763JB-[NA],0,D11-[NA],Gal(b1-3)GalNAc(a1-Thr-[NA],TF-[NA],D11-[NA]
D14,0.82019054252114,0.3737504162294977,G36123IU-[NA],0,D14-[NA],Neu5Ac(a2-6)GalNAc(a1-Thr-[NA],STn-[NA],D14-[NA]
D21,2.359620448788589,0.12085186620267435,G33129LQ-[NA],0,D21-[NA],GalNAc(b1-4)GlcNAc(b1-Sp-[NA],D21-[NA],D21-[NA]
D8,0.7034556045973166,0.0869276251844891,G16384KS-[NA],0,D8-[NA],Gal(b1-3)GlcNAc(b1-Sp-[NA],Lec-[NA],D8-[NA]
D9,1.17228813901793,0.3520634561027898,G94144EF-[NA],0,D9-[NA],Gal(b1-4)Glc(b1-Sp-[NA],"Lac, L-[NA]",D9-[NA]
Di-N3,0.8327247125300611,0.38731533136305657,G00068MO-[NA],0,Di-N3-[NA],Fuc(a1-2)Gal(b1-Sp-[NA],Di-N3-[NA],Di-N3-[NA]
galf,0.33501918812269016,0.09110633755790223,NA-[NA],0,galf-[NA],NANA-[NA],NA-[NA],galf-[NA]
galf-di,1.0660365124813929,0.41457886051712184,NA-[NA],0,galf-di-[NA],NANA-[NA],NA-[NA],galf-di-[NA]
galf-tri,1.1267475205168247,0.13762169936690735,NA-[NA],0,galf-tri-[NA],NANA-[NA],NA-[NA],galf-tri-[NA]
galf4_low,0.8185927569110701,0.09941050252230936,G92890KE-[NA],0,galf4_low-[NA],Galf(b1-5)Galf(b1-5)Galf(b1-5)Galf(b1-S8-[NA],Tetra-Galf-[NA],galf4_low-[NA]
galf4_mid,1.4206865521833676,0.08592780380868738,G92890KE-[NA],0,galf4_mid-[NA],Galf(b1-5)Galf(b1-5)Galf(b1-5)Galf(b1-S8-[NA],Tetra-Galf-[NA],galf4_mid-[NA]
galf4-high,0.666447000136416,0.0244010743849279,G92890KE-[NA],0,galf4-high-[NA],Galf(b1-5)Galf(b1-5)Galf(b1-5)Galf(b1-S8-[NA],Tetra-Galf-[NA],galf4-high-[NA]
Lac_mid,1.2612717788926031,0.15818136605598607,NA-[NA],0,Lac_mid-[NA],NANA-[NA],NA-[NA],Lac_mid-[NA]
Man_high1,0.48105506835353634,0.18727891910235583,NA-[NA],0,Man_high1-[NA],NANA-[NA],NA-[NA],Man_high1-[NA]
Man_high2,0.2586425836942621,0.10911600218952228,NA-[NA],0,Man_high2-[NA],NANA-[NA],NA-[NA],Man_high2-[NA]
Man_low,0,0,NA-[NA],0,Man_low-[NA],NANA-[NA],NA-[NA],Man_low-[NA]
