Mod,totalEN,totalStd,Glytoucan,Order,Mod2,IUPAC,CommonName2,x_label
3'SLN,0.8164374491585382,0.14565999205650756,G04307DP-[NA],0,3'SLN-[NA],Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp-[NA],3'SLN-[NA],3'SLN-[NA]
6'SLN,1.0859057274022037,0.9100095298682445,G73578JC-[NA],0,6'SLN-[NA],Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-Sp-[NA],6'SLN-[NA],6'SLN-[NA]
D11,1.198302337630465,0.5133186832207173,G97763JB-[NA],0,D11-[NA],Gal(b1-3)GalNAc(a1-Thr-[NA],TF-[NA],D11-[NA]
D14,1.7285429533049887,1.1719973905374952,G36123IU-[NA],0,D14-[NA],Neu5Ac(a2-6)GalNAc(a1-Thr-[NA],STn-[NA],D14-[NA]
D21,1.832335090383312,0.9458490779840539,G33129LQ-[NA],0,D21-[NA],GalNAc(b1-4)GlcNAc(b1-Sp-[NA],D21-[NA],D21-[NA]
D8,1.4669811830757113,0.5402561459723569,G16384KS-[NA],0,D8-[NA],Gal(b1-3)GlcNAc(b1-Sp-[NA],Lec-[NA],D8-[NA]
D9,1.3265309152709794,1.2708401125589144,G94144EF-[NA],0,D9-[NA],Gal(b1-4)Glc(b1-Sp-[NA],"Lac, L-[NA]",D9-[NA]
Di-N3,0.44662523510868074,0.3300143163114254,G00068MO-[NA],0,Di-N3-[NA],Fuc(a1-2)Gal(b1-Sp-[NA],Di-N3-[NA],Di-N3-[NA]
galf,0.26052149974973426,0.08143332918605922,NA-[NA],0,galf-[NA],NANA-[NA],NA-[NA],galf-[NA]
galf-di,0.8886763842248875,0.5647236332099016,NA-[NA],0,galf-di-[NA],NANA-[NA],NA-[NA],galf-di-[NA]
galf-tri,0.8153533664958119,0.13374998807047606,NA-[NA],0,galf-tri-[NA],NANA-[NA],NA-[NA],galf-tri-[NA]
galf4_low,0.7357001207145509,0.1682042404165264,G92890KE-[NA],0,galf4_low-[NA],Galf(b1-5)Galf(b1-5)Galf(b1-5)Galf(b1-S8-[NA],Tetra-Galf-[NA],galf4_low-[NA]
galf4_mid,1.2142157652355525,0.35972853099221025,G92890KE-[NA],0,galf4_mid-[NA],Galf(b1-5)Galf(b1-5)Galf(b1-5)Galf(b1-S8-[NA],Tetra-Galf-[NA],galf4_mid-[NA]
galf4-high,0.8903734431966233,0.3580498526217581,G92890KE-[NA],0,galf4-high-[NA],Galf(b1-5)Galf(b1-5)Galf(b1-5)Galf(b1-S8-[NA],Tetra-Galf-[NA],galf4-high-[NA]
Lac_mid,1.7377210325005796,0.48852543999888526,NA-[NA],0,Lac_mid-[NA],NANA-[NA],NA-[NA],Lac_mid-[NA]
Man_high1,0.3146875356035456,0.1417939567629206,NA-[NA],0,Man_high1-[NA],NANA-[NA],NA-[NA],Man_high1-[NA]
Man_high2,0.27862601246463153,0.11522274027500796,NA-[NA],0,Man_high2-[NA],NANA-[NA],NA-[NA],Man_high2-[NA]
Man_low,0,0,NA-[NA],0,Man_low-[NA],NANA-[NA],NA-[NA],Man_low-[NA]
Man_mid,0.7035371166988567,0.27419606473754277,NA-[NA],0,Man_mid-[NA],NANA-[NA],NA-[NA],Man_mid-[NA]
PZ-10048,0.7423877479139154,0.23287502045212338,G19165TD-[NA],0,PZ-10048-[NA],Man(a1-S6-[NA],Mana-[NA],PZ-10048-[NA]
PZ-5080,0.8937716429729627,0.48172067882496444,G94144EF-[NA],0,PZ-5080-[NA],Gal(b1-4)Glc(b1-p4-[NA],"Lac, L-[NA]",PZ-5080-[NA]
PZ-8015,1.1224243375902585,0.45935981501842027,G80926OA-[NA],0,PZ-8015-[NA],Man(a1-6)[Man(a1-3)]Man(a1-s6-[NA],Tri-Man-[NA],PZ-8015-[NA]
Te100,1.2279033939443909,0.65346951802435,G46055MA-[NA],0,Te100-[NA],Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp-[NA],Tri-LN-[NA],Te100-[NA]
Te101,1.2331936107069006,1.1239533136297954,G79535HZ-[NA],0,Te101-[NA],Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp-[NA],Di-Lex-[NA],Te101-[NA]
Te102,0.8543098858695622,0.2948342612803461,G57884AX-[NA],0,Te102-[NA],Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp-[NA],Tri-Lex-[NA],Te102-[NA]
Te118,0.9323102039814015,1.652608264867857,G35534DU-[NA],0,Te118-[NA],Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp-[NA],Ley-[NA],Te118-[NA]
