Mod,totalEN,totalStd,Glytoucan,Order,Mod2,IUPAC,CommonName2,x_label
3'SLN,1.8698464395240488,0.7576376068139549,G04307DP-[NA],0,3'SLN-[NA],Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp-[NA],3'SLN-[NA],3'SLN-[NA]
6'SLN,0.46256452142522725,0.18543090543919372,G73578JC-[NA],0,6'SLN-[NA],Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-Sp-[NA],6'SLN-[NA],6'SLN-[NA]
D11,3.7946364818434133,1.4032599533525634,G97763JB-[NA],0,D11-[NA],Gal(b1-3)GalNAc(a1-Thr-[NA],TF-[NA],D11-[NA]
D14,5.6634392627252765,2.2253671066900917,G36123IU-[NA],0,D14-[NA],Neu5Ac(a2-6)GalNAc(a1-Thr-[NA],STn-[NA],D14-[NA]
D21,3.381681904048549,0.40250882864107085,G33129LQ-[NA],0,D21-[NA],GalNAc(b1-4)GlcNAc(b1-Sp-[NA],D21-[NA],D21-[NA]
D8,2.3077039288522254,0.5341003442156242,G16384KS-[NA],0,D8-[NA],Gal(b1-3)GlcNAc(b1-Sp-[NA],Lec-[NA],D8-[NA]
D9,0.9386776827306401,0.3461322389576198,G94144EF-[NA],0,D9-[NA],Gal(b1-4)Glc(b1-Sp-[NA],"Lac, L-[NA]",D9-[NA]
Di-N3,0.29224931088403355,0.16621563168270498,G00068MO-[NA],0,Di-N3-[NA],Fuc(a1-2)Gal(b1-Sp-[NA],Di-N3-[NA],Di-N3-[NA]
galf,0.1960562124252171,0.06851917276765873,NA-[NA],0,galf-[NA],NANA-[NA],NA-[NA],galf-[NA]
galf-di,1.0556091411374338,0.30876086097058303,NA-[NA],0,galf-di-[NA],NANA-[NA],NA-[NA],galf-di-[NA]
galf-tri,0.6862246900567995,0.14764252096914743,NA-[NA],0,galf-tri-[NA],NANA-[NA],NA-[NA],galf-tri-[NA]
galf4_low,0.5972128812816359,0.0661679761484221,G92890KE-[NA],0,galf4_low-[NA],Galf(b1-5)Galf(b1-5)Galf(b1-5)Galf(b1-S8-[NA],Tetra-Galf-[NA],galf4_low-[NA]
galf4_mid,0.5645066420094318,0.04311463445643531,G92890KE-[NA],0,galf4_mid-[NA],Galf(b1-5)Galf(b1-5)Galf(b1-5)Galf(b1-S8-[NA],Tetra-Galf-[NA],galf4_mid-[NA]
galf4-high,1.0083409684647742,0.1305700183531435,G92890KE-[NA],0,galf4-high-[NA],Galf(b1-5)Galf(b1-5)Galf(b1-5)Galf(b1-S8-[NA],Tetra-Galf-[NA],galf4-high-[NA]
Lac_mid,0.9846612583636268,0.038762881652469154,NA-[NA],0,Lac_mid-[NA],NANA-[NA],NA-[NA],Lac_mid-[NA]
