Mod,totalEN,totalStd,Glytoucan,Order,Mod2,IUPAC,CommonName2,x_label
3'SLN,0.5619392146793012,0.10244228835061583,G04307DP-[NA],0,3'SLN-[NA],Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp-[NA],3'SLN-[NA],3'SLN-[NA]
6'SLN,0.3645112376065679,0.12538666483512564,G73578JC-[NA],0,6'SLN-[NA],Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-Sp-[NA],6'SLN-[NA],6'SLN-[NA]
D11,1.6764203448502615,0.7035185393595041,G97763JB-[NA],0,D11-[NA],Gal(b1-3)GalNAc(a1-Thr-[NA],TF-[NA],D11-[NA]
D14,0.9106338885954331,1.2571207334339716,G36123IU-[NA],0,D14-[NA],Neu5Ac(a2-6)GalNAc(a1-Thr-[NA],STn-[NA],D14-[NA]
D21,0.855644156899039,0.48097975865430886,G33129LQ-[NA],0,D21-[NA],GalNAc(b1-4)GlcNAc(b1-Sp-[NA],D21-[NA],D21-[NA]
D8,1.568535462106643,0.2065104433374038,G16384KS-[NA],0,D8-[NA],Gal(b1-3)GlcNAc(b1-Sp-[NA],Lec-[NA],D8-[NA]
D9,0.5199037548803664,0.2921669161198014,G94144EF-[NA],0,D9-[NA],Gal(b1-4)Glc(b1-Sp-[NA],"Lac, L-[NA]",D9-[NA]
Di-N3,0.2430457413516828,0.11792910705695199,G00068MO-[NA],0,Di-N3-[NA],Fuc(a1-2)Gal(b1-Sp-[NA],Di-N3-[NA],Di-N3-[NA]
galf,0.24450194409282952,0.07015576701493392,NA-[NA],0,galf-[NA],NANA-[NA],NA-[NA],galf-[NA]
galf-di,1.2649136003897228,0.7109035182096116,NA-[NA],0,galf-di-[NA],NANA-[NA],NA-[NA],galf-di-[NA]
galf-tri,2.2836025341124366,0.9736160902131479,NA-[NA],0,galf-tri-[NA],NANA-[NA],NA-[NA],galf-tri-[NA]
galf4_low,0.9226357696824659,0.2816232773943501,G92890KE-[NA],0,galf4_low-[NA],Galf(b1-5)Galf(b1-5)Galf(b1-5)Galf(b1-S8-[NA],Tetra-Galf-[NA],galf4_low-[NA]
galf4_mid,1.9252808799604195,0.6254080069558712,G92890KE-[NA],0,galf4_mid-[NA],Galf(b1-5)Galf(b1-5)Galf(b1-5)Galf(b1-S8-[NA],Tetra-Galf-[NA],galf4_mid-[NA]
galf4-high,1.493769036921097,0.5526749553551064,G92890KE-[NA],0,galf4-high-[NA],Galf(b1-5)Galf(b1-5)Galf(b1-5)Galf(b1-S8-[NA],Tetra-Galf-[NA],galf4-high-[NA]
Lac_mid,1.3571011612591284,0.18952648546706471,NA-[NA],0,Lac_mid-[NA],NANA-[NA],NA-[NA],Lac_mid-[NA]
Man_high1,0.9062187242234203,0.4954879005670001,NA-[NA],0,Man_high1-[NA],NANA-[NA],NA-[NA],Man_high1-[NA]
Man_high2,0.6183589869814055,0.2644881598354119,NA-[NA],0,Man_high2-[NA],NANA-[NA],NA-[NA],Man_high2-[NA]
Man_low,0,0,NA-[NA],0,Man_low-[NA],NANA-[NA],NA-[NA],Man_low-[NA]
Man_mid,0.9810196299005292,0.3397269537169751,NA-[NA],0,Man_mid-[NA],NANA-[NA],NA-[NA],Man_mid-[NA]
PZ-10048,1.9185180983313286,0.567915750566609,G19165TD-[NA],0,PZ-10048-[NA],Man(a1-S6-[NA],Mana-[NA],PZ-10048-[NA]
PZ-5080,0.42973314660731016,0.18831502391343932,G94144EF-[NA],0,PZ-5080-[NA],Gal(b1-4)Glc(b1-p4-[NA],"Lac, L-[NA]",PZ-5080-[NA]
PZ-8015,5.111620416428718,2.347475653463131,G80926OA-[NA],0,PZ-8015-[NA],Man(a1-6)[Man(a1-3)]Man(a1-s6-[NA],Tri-Man-[NA],PZ-8015-[NA]
Te100,0.7418347621401745,0.7567683108370717,G46055MA-[NA],0,Te100-[NA],Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp-[NA],Tri-LN-[NA],Te100-[NA]
Te101,0.2921534607261964,0.14709901570690964,G79535HZ-[NA],0,Te101-[NA],Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp-[NA],Di-Lex-[NA],Te101-[NA]
Te102,0.8872349643207144,0.31162098285747575,G57884AX-[NA],0,Te102-[NA],Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp-[NA],Tri-Lex-[NA],Te102-[NA]
Te118,1.142103462734002,1.670411189122422,G35534DU-[NA],0,Te118-[NA],Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp-[NA],Ley-[NA],Te118-[NA]
Te119,1.2735698413475247,0.10057515823373729,G35228ZS-[NA],0,Te119-[NA],Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-4)Glc(b1-Sp-[NA],GT2-[NA],Te119-[NA]
Te140,1.4975201392274131,0.4296662429969786,G19619KS-[NA],0,Te140-[NA],Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp1-[NA],3'S-Di-Lex-[NA],Te140-[NA]
Te193,2.0197750014022358,0.9812340067503912,G70868ZC-[NA],0,Te193-[NA],Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp-[NA],Te193-[NA],Te193-[NA]
Te201,1.5791895954655852,0.43275551535195816,G41052GC-[NA],0,Te201-[NA],Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-4)GlcNAc(b1-Sp-[NA],CT/Sda-[NA],Te201-[NA]
Te212,1.2285195673221243,0.2856580916318749,G74917JX-[NA],0,Te212-[NA],Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp-[NA],Ley -Lex-[NA],Te212-[NA]
Te221,0.9871323300459639,0.2266308024055762,G86393KI-[NA],0,Te221-[NA],Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp-[NA],Gala3Lex-[NA],Te221-[NA]
Te222,1.1596905746504926,0.5924665457528998,G86393KI-[NA],0,Te222-[NA],Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp-[NA],A tetra type 2-[NA],Te222-[NA]
Te223,1.573029737534715,0.5048635233285113,G45802NQ-[NA],0,Te223-[NA],Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp-[NA],B tetra type 2-[NA],Te223-[NA]
Te224,1.8036915103472193,0.6844584029594084,G19524AS-[NA],0,Te224-[NA],GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp-[NA],A tetra L-[NA],Te224-[NA]
Te262,0.5722591183449751,0.44338569880159506,G04624DG-[NA],0,Te262-[NA],Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp-[NA],2'F-B type 2-[NA],Te262-[NA]
Te271,1.1723255681122609,0.7772576167962892,G09681LD-[NA],0,Te271-[NA],Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp-[NA],LNT-[NA],Te271-[NA]
