Glycan,IUPAC
Ty-176,Gal(b1-P4
Lac_mid,Gal(b1-4)Glc(b1-Sp
D9,Gal(b1-4)Glc(b1-Sp
PZ-5080,Gal(b1-4)Glc(b1-P4
D8,Gal(b1-3)GlcNAc(b1-Sp
D11,Gal(b1-3)GalNAc(a1-Thr
D21,GalNAc(b1-4)GlcNAc(b1-Sp
Tr59,Gal(a1-3)Gal(b1-4)Glc(b1-Sp
Tr62,Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp
Tr54,GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp
Tr55,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp
Te72,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp
Te271,Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp
Te302,Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp
Te100,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp
Di-N3,Fuc(a1-2)Gal(b1-Sp
Tr116,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp
Te118,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp
Tri-AN3,Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp
Tr57,Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp
Tri-BN3,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp
Te224,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp
Te221,Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp
Tr38,Gal(b1-3)[Neu5Ac(a2-6)]GalNAc(a1-Thr
Te223,Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp
Te222,Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp
Te286,Gal(b1-3)GlcNac(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNac(b1-Sp
Te101,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp
