IUPAC (LiGA),total,LiGA_StDev,IUPAC (CFG),Average RFU,StDev
Gal(b1-P4,1.020620389,0.1483210357714558,Gal(b1-Sp8,367.7827749999999,26.570278692476492
Gal(b1-4)Glc(b1-Sp,1.546681665,0.3520634561027898,Gal(b1-4)Glc(b1-Sp0,90.35877500000001,2.723827569646162
,,,Gal(b1-4)Glc(b1-Sp8,235.12144999999998,70.11767794218056
Gal(b1-4)Glc(b1-Sp,1.612291629,0.15818136605598607,,,
Gal(b1-4)Glc(b1-P4,1.013782751,0.4441940944285767,,,
Gal(b1-3)GlcNAc(b1-Sp,3.2798982189999997,0.0869276251844891,Gal(b1-3)GlcNAc(b1-Sp0,156.09654999999998,22.818881740713753
,,,Gal(b1-3)GlcNAc(b1-Sp8,139.362,53.31245085499889
Gal(b1-3)GalNAc(a1-Thr,3.101694915,0.7018230805246201,Gal(b1-3)GalNAc(a1-Sp8,267.30319999999995,22.059301628565184
,,,Gal(b1-3)GalNAc(a1-Sp14,169.01952500000002,43.47938319022591
,,,Gal(b1-3)GalNAc(a1-Sp16,81.48995000000002,23.492891112774142
GalNAc(b1-4)GlcNAc(b1-Sp,3.50755287,0.12085186620267435,GalNAc(b1-4)GlcNAc(b1-Sp0,36.924025,18.198608184212887
,,,GalNAc(b1-4)GlcNAc(b1-Sp8,115.92352500000001,14.738087900940089
Gal(a1-3)Gal(b1-4)Glc(b1-Sp,1.9463696369999999,0.4716678875604503,Gal(a1-3)Gal(b1-4)Glc(b1-Sp0,122.57507499999997,7.293254648132444
,,,Gal(a1-3)Gal(b1-4)Glc(b1-Sp10,123.08160000000001,40.522956170134876
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp,2.407272727,0.7099707218146404,Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,81.084375,20.69914942219849
,,,Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp8,64.83902499999999,18.107027763527856
GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp,1.760504202,1.0469886257622851,GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,52.29634999999999,2.660465179250028
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp,4.389189189,0.5954114072507128,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,109.52189999999999,9.60702628392347
,,,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp8,44.59450000000001,33.51311045715293
,,,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,70.1102,3.843556359241487
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp,0.909017713,0.13013716914033396,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,94.60775000000001,20.286596832802285
,,,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,75.38759999999999,11.922217695546541
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp,3.342519685,0.7514679690667384,Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,86.060625,22.425304383720356
Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp,2.467980296,0.9366039324790048,,,
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp,11.12162162,0.9718942745442678,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,163.07945000000004,30.76226918856938
Fuc(a1-2)Gal(b1-Sp,0.988408037,0.38731533136305657,Fuc(a1-2)Gal(b1-Sp8,307.44290000000007,55.39213180389381
