IUPAC (CFG),Average RFU,StDev
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,642.21645,100.0821755120756
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,500.59457499999996,22.541257139503422
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,371.74602500000003,51.715715127568295
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,427.37589999999994,40.17779990318213
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,338.28992500000004,154.32256603880873
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,608.6900999999999,35.84235191334343
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,354.714425,23.150301897006095
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,555.3417999999999,37.660895466165826
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,1676.4634999999996,76.69481899881012
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,557.569975,69.2258776728947
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp8,429.8388499999999,76.17161305072973
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,650.2829000000002,60.264337389590175
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,1045.41565,132.59653065814726
Gal(b1-4)GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,603.63125,117.494223895744
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,531.288175,38.757162808731465
Fuc(a1-2)Gal(b1-4)(6S)Glc(b1-Sp0,439.47465000000005,39.65322115915182
GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,367.663225,33.65752937143761
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,369.19662500000004,77.81680379002823
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-2)Man(a1-6)[GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp20,373.6597750000001,45.910561711103426
Gal(b1-3)GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,1637.9234749999998,136.0875177785825
Gal(b1-3)GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,761.2560000000001,26.683445735634752
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-3)GalNAc(b1-Sp14,565.9201249999999,60.07586319076952
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-6)[Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-3)]GalNAc(b1-Sp14,376.0199500000001,37.88120310518819
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-6)[GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-3)]GalNAc(b1-Sp14,361.77445000000006,15.408562041603835
Fuc(a1-2)Gal(b1-3)(6S)GlcNAc(b1-Sp0,696.8312,99.56178176840673
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-6)GalNAc(a1-Sp14,564.33265,84.76333342228074
Gal(b1-3)(6S)GlcNAc(b1-Sp8,542.288025,39.10008409704162
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-2)Man(a1-Sp0,436.65652500000004,52.63098661177751
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4) GlcNAc(b1-2)Man(a1-Sp0,688.8951500000001,51.12516363634717
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-6)GalNAc(b1-Sp14,482.0484499999999,35.192953209084344
