IUPAC (LiGA),total,LiGA_StDev,IUPAC (CFG),Average RFU,StDev
Gal(b1-P4,1.8553626230000002,0.5995663008392774,Gal(b1-Sp8,15.514925000000003,1.9344466157448263
Gal(b1-4)Glc(b1-Sp,2.76142132,1.2708401125589144,Gal(b1-4)Glc(b1-Sp0,27.256949999999993,12.931000948753606
,,,Gal(b1-4)Glc(b1-Sp8,33.370625,15.483190938859034
Gal(b1-4)Glc(b1-Sp,3.2031860539999997,0.4885254399988853,,,
Gal(b1-4)Glc(b1-P4,1.783995031,0.4817206788249645,,,
Gal(b1-3)GlcNAc(b1-Sp,2.886284722,0.5402561459723569,Gal(b1-3)GlcNAc(b1-Sp0,12.075999999999999,5.153987750599852
,,,Gal(b1-3)GlcNAc(b1-Sp8,11.737975,3.545157077267524
Gal(b1-3)GalNAc(a1-Thr,2.220140515,0.5133186832207173,Gal(b1-3)GalNAc(a1-Sp8,9.479600000000005,28.724353214302308
,,,Gal(b1-3)GalNAc(a1-Sp14,56.9546,39.933997301964936
,,,Gal(b1-3)GalNAc(a1-Sp16,29.438050000000004,37.415814928048825
GalNAc(b1-4)GlcNAc(b1-Sp,3.639037433,0.945849077984054,GalNAc(b1-4)GlcNAc(b1-Sp0,20.775775000000003,10.847978758698162
,,,GalNAc(b1-4)GlcNAc(b1-Sp8,41.35490000000001,19.021723179740228
Gal(a1-3)Gal(b1-4)Glc(b1-Sp,2.5804347830000003,0.8430442685202744,Gal(a1-3)Gal(b1-4)Glc(b1-Sp0,54.334025,45.964244308112306
,,,Gal(a1-3)Gal(b1-4)Glc(b1-Sp10,39.3806,12.954021105690144
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp,3.712665406,1.4277140425748431,Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,23.011175,14.246795001303521
,,,Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp8,28.546574999999997,26.690092822790394
GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp,3.176744186,1.3499525059012,GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,17.516824999999997,8.128624486908395
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp,2.8006993010000003,0.4713865833009286,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,16.472050000000003,3.3741208084477305
,,,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp8,12.132799999999996,6.6375057966076705
,,,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,80.35877499999998,84.1924206945168
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp,2.11130397,0.17213571207962147,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,50.54162499999998,17.979706235711625
,,,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,19.789524999999998,8.05889922482177
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp,3.7440381560000002,0.6884191639835525,Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,6.017799999999994,4.4613801339943695
Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp,3.2820864789999997,0.31929297836923404,,,
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp,2.445544554,0.6534695180243499,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,11.926325,11.087831339318196
Fuc(a1-2)Gal(b1-Sp,0.9088861779999999,0.3300143163114254,Fuc(a1-2)Gal(b1-Sp8,28.166424999999997,16.98332665986948
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp,3.51987225,1.6306864265846936,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,16.984449999999995,8.48112872892921
,,,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,4.487350000000001,4.131319716910481
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp,1.039548023,0.28222466609692604,,,
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp,1.115485037,0.195099622703562,,,
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp,7.2325216029999995,4.3701003945151715,,,
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp,4.472703063,0.6089998874951966,,,
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,2.045454545,1.6526082648678568,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,35.129749999999945,27.698075118256828
,,,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,18.949275,8.711647255781575
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,2.8972556889999996,0.3911814137179261,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,33.162650000000006,11.289943809869062
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,2.149687833,0.16242408102613518,,,
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,3.043977055,0.1820534352255313,,,
Gal(b1-3)GlcNac(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNac(b1-Sp,2.680407125,0.6226090715887315,,,
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,2.54222973,1.1239533136297954,,,
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp,3.520325203,0.9082019461539872,Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp0 ,14.819824999999996,13.949100057321496
,,,Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8 ,-3.591699999999996,6.690820063340519
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,1.6095605240000002,0.2948342612803461,,,
Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,3.033351862,1.1805212716281928,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,48.308674999999994,30.571156816338604
Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,3.0687830689999998,0.4783292294945984,,,
Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,2.391025641,0.4036017070690321,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,43.76287500000001,15.877990393702165
,,,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,-1.2285500000000003,4.901427830404794
Neu5Ac(a2-6)GalNAc(a1-Thr,3.506912442,1.1719973905374952,,,
