IUPAC (LiGA),total,LiGA_StDev,IUPAC (CFG),Average RFU,StDev
Gal(b1-P4,1.45100826,0.14225374996042253,Gal(b1-Sp8,-13.437325000000001,8.412569340130283
Gal(b1-4)Glc(b1-Sp,0.575556423,0.14853921238937712,Gal(b1-4)Glc(b1-Sp0,-0.47987499999999805,6.724109207111886
,,,Gal(b1-4)Glc(b1-Sp8,-14.489825000000002,7.69515755886995
Gal(b1-4)Glc(b1-Sp,1.22396303,0.12264941151621375,,,
Gal(b1-4)Glc(b1-P4,0.61079766,0.16175860062761233,,,
Gal(b1-3)GlcNAc(b1-Sp,3.427951389,0.4084409233087157,Gal(b1-3)GlcNAc(b1-Sp0,-22.586775,7.701364299211349
,,,Gal(b1-3)GlcNAc(b1-Sp8,-11.420625,1.927236962380763
Gal(b1-3)GalNAc(a1-Thr,3.1803278689999996,1.0191394658210349,Gal(b1-3)GalNAc(a1-Sp8,-10.342299999999994,25.728769005013326
,,,Gal(b1-3)GalNAc(a1-Sp14,-18.338474999999992,16.245076795832638
,,,Gal(b1-3)GalNAc(a1-Sp16,-32.22400000000001,9.599911683274302
GalNAc(b1-4)GlcNAc(b1-Sp,13.02941176,1.901708108544068,GalNAc(b1-4)GlcNAc(b1-Sp0,25314.454899999997,916.539384385818
,,,GalNAc(b1-4)GlcNAc(b1-Sp8,15150.8625,544.2674355548742
Gal(a1-3)Gal(b1-4)Glc(b1-Sp,0.9728260870000001,0.19457491322464834,Gal(a1-3)Gal(b1-4)Glc(b1-Sp0,-19.984975,20.970808434484187
,,,Gal(a1-3)Gal(b1-4)Glc(b1-Sp10,-18.890200000000004,2.2492217039085536
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp,10.90548204,6.461178003333715,Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,1.4428000000000019,9.386833280363168
,,,Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp8,132.84225,43.01290119878759
