IUPAC (LiGA),total,IUPAC (CFG),Average RFU,StDev
Gal(b1-P4,1.467342273,Gal(b1-Sp8,37.41765,21.521001118055196
Gal(b1-4)Glc(b1-Sp,2.6669672380000002,Gal(b1-4)Glc(b1-Sp0,40.650349999999996,7.31229381270575
,,Gal(b1-4)Glc(b1-Sp8,31.416925,6.367041438729629
Gal(b1-4)Glc(b1-Sp,2.6669672380000002,,,
Gal(b1-4)Glc(b1-P4,1.055437652,,,
Gal(b1-3)GlcNAc(b1-Sp,4.5138888889999995,Gal(b1-3)GlcNAc(b1-Sp0,22.29375,11.97385633689777
,,Gal(b1-3)GlcNAc(b1-Sp8,14.682825000000003,7.973776982239966
Gal(b1-3)GalNAc(a1-Thr,6.405152225,Gal(b1-3)GalNAc(a1-Sp8,18.033725000000004,19.67785532493739
,,Gal(b1-3)GalNAc(a1-Sp14,9.160824999999996,9.922496904299514
,,Gal(b1-3)GalNAc(a1-Sp16,17.40875,4.921139899454192
GalNAc(b1-4)GlcNAc(b1-Sp,2.7058823530000002,GalNAc(b1-4)GlcNAc(b1-Sp0,11.944575,5.527379317768954
,,GalNAc(b1-4)GlcNAc(b1-Sp8,4.784700000000001,10.516870073996984
Gal(a1-3)Gal(b1-4)Glc(b1-Sp,0.951086957,Gal(a1-3)Gal(b1-4)Glc(b1-Sp0,25.835200000000007,10.385820447128816
,,Gal(a1-3)Gal(b1-4)Glc(b1-Sp10,30.958625000000005,16.727578288438313
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp,6.776937618,Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,28.194875000000007,15.255145779129728
,,Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp8,21.442950000000003,11.266670418096018
GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp,1.3093023259999998,GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,700.5190499999999,70.97946407708301
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp,6.6555944060000005,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,846.61365,62.86011241905908
,,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp8,733.1195,44.0492218772744
,,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,1021.488,85.66577665236862
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp,3.540898243,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,8.350425000000001,11.36216024482874
,,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,34.705725,22.317289713639077
