IUPAC (LiGA),total,IUPAC (CFG),Average RFU,StDev
Gal(b1-P4,1.655173124,Gal(b1-Sp8,16.764674999999997,4.428122512890398
Gal(b1-4)Glc(b1-Sp,1.826157199,Gal(b1-4)Glc(b1-Sp0,12.266224999999997,12.325492719123513
,,Gal(b1-4)Glc(b1-Sp8,28.993050000000004,25.083795586061797
Gal(b1-4)Glc(b1-Sp,1.826157199,,,
Gal(b1-4)Glc(b1-P4,1.170350432,,,
Gal(b1-3)GlcNAc(b1-Sp,2.8993055560000003,Gal(b1-3)GlcNAc(b1-Sp0,15.383949999999997,16.415410195808896
,,Gal(b1-3)GlcNAc(b1-Sp8,13.112225000000002,6.737124766236195
Gal(b1-3)GalNAc(a1-Thr,4.31147541,Gal(b1-3)GalNAc(a1-Sp8,12.401974999999998,2.2757576209180805
,,Gal(b1-3)GalNAc(a1-Sp14,13.360274999999998,11.773499962592567
,,Gal(b1-3)GalNAc(a1-Sp16,19.101074999999998,8.376350180667394
GalNAc(b1-4)GlcNAc(b1-Sp,1.4532085559999999,GalNAc(b1-4)GlcNAc(b1-Sp0,57.927775,32.933752191166555
,,GalNAc(b1-4)GlcNAc(b1-Sp8,144.94560000000013,87.552128315915
Gal(a1-3)Gal(b1-4)Glc(b1-Sp,1.785869565,Gal(a1-3)Gal(b1-4)Glc(b1-Sp0,12.096224999999999,5.718426942423353
,,Gal(a1-3)Gal(b1-4)Glc(b1-Sp10,12.422250000000002,8.122472273267539
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp,5.5387523629999995,Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,44.775199999999984,54.46045576348641
,,Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp8,20.159950000000002,18.961210759249173
GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp,1.834883721,GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,23.895650000000003,33.239762915771024
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp,4.8444055939999995,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,22.673975000000006,10.664261228475555
,,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp8,129.2281,74.9503556292652
,,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,34.19352500000001,45.87555278739611
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp,1.9913213280000002,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,5.1660499999999985,3.8292228946179976
,,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,35.20152499999999,20.375370947523084
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp,4.817170111,Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,15.023125,6.098759964328784
Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp,2.516129032,,,
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp,3.544554455,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,20.295199999999994,16.166972013130152
Fuc(a1-2)Gal(b1-Sp,0.7219667820000001,Fuc(a1-2)Gal(b1-Sp8,54.734675,8.614471305261128
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp,1.496806246,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,18.741425,11.629525384232139
