IUPAC (LiGA),total,IUPAC (CFG),Average RFU,StDev
Gal(b1-P4,0.626017048,Gal(b1-Sp8,18.888949999999998,6.311252600712468
Gal(b1-4)Glc(b1-Sp,1.002479339,Gal(b1-4)Glc(b1-Sp0,13.300850000000002,9.389664677186298
,,Gal(b1-4)Glc(b1-Sp8,15.073400000000003,4.204822251494902
Gal(b1-4)Glc(b1-Sp,1.002479339,,,
Gal(b1-4)Glc(b1-P4,1.032385302,,,
Gal(b1-3)GlcNAc(b1-Sp,1.128701595,Gal(b1-3)GlcNAc(b1-Sp0,8.677400000000002,2.562625108490636
,,Gal(b1-3)GlcNAc(b1-Sp8,11.990224999999999,13.914780797021804
Gal(b1-3)GalNAc(a1-Thr,1.146153846,Gal(b1-3)GalNAc(a1-Sp8,3.2851749999999997,3.803728672741172
,,Gal(b1-3)GalNAc(a1-Sp14,13.774149999999999,6.617002767870053
,,Gal(b1-3)GalNAc(a1-Sp16,4.08145,3.1889660827087267
GalNAc(b1-4)GlcNAc(b1-Sp,3.321721311,GalNAc(b1-4)GlcNAc(b1-Sp0,27.766675,4.152694749496979
,,GalNAc(b1-4)GlcNAc(b1-Sp8,16.454875,10.689178682317
Gal(a1-3)Gal(b1-4)Glc(b1-Sp,1.23154678,Gal(a1-3)Gal(b1-4)Glc(b1-Sp0,201.80389999999994,44.30546712231672
,,Gal(a1-3)Gal(b1-4)Glc(b1-Sp10,325.24415,71.38905836510709
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp,1.3125,Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,35.068375,31.076829028969993
,,Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp8,8.1694,4.413857207326335
GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp,1.044642857,GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,125.42275000000001,11.10096544074729
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp,2.10483871,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,26.94147499999999,4.762593337930579
,,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp8,19.4206,7.703637633395452
,,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,34.599925,9.385482989658323
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp,1.431200966,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,301.759475,106.02587943533354
,,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,531.288175,38.757162808731465
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp,1.235930736,Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,41.8505,29.53689346642038
Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp,1.111418048,,,
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp,1.375,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,37.29644999999999,14.614287078403807
Fuc(a1-2)Gal(b1-Sp,2.0190742619999997,Fuc(a1-2)Gal(b1-Sp8,17.213925,9.296561894010425
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp,2.185476815,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,21.176900000000007,9.503982499633127
,,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,12.964149999999997,8.179192254536312
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp,1.2619047620000001,,,
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp,1.1634517770000001,,,
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp,1.444805195,,,
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp,1.01226158,,,
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,2.6,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,6.143650000000002,3.1241673007912607
,,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,7.726775000000001,3.1979121171737486
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,1.343275772,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,9.852600000000002,1.5887541722997802
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,1.171195652,,,
