IUPAC (LiGA),total,IUPAC (CFG),Average RFU,StDev
Gal(b1-P4,1.271622485,Gal(b1-Sp8,193.70940000000002,64.72915035721294
Gal(b1-4)Glc(b1-Sp,1.8797715659999998,Gal(b1-4)Glc(b1-Sp0,18.889599999999994,32.10357987992406
,,Gal(b1-4)Glc(b1-Sp8,283.89844999999997,144.26677326593037
Gal(b1-4)Glc(b1-Sp,1.8797715659999998,,,
Gal(b1-4)Glc(b1-P4,1.34266784,,,
Gal(b1-3)GlcNAc(b1-Sp,4.516493056,Gal(b1-3)GlcNAc(b1-Sp0,132.22527500000004,163.316486573756
,,Gal(b1-3)GlcNAc(b1-Sp8,146.24969999999996,49.64684457599838
Gal(b1-3)GalNAc(a1-Thr,7.12412178,Gal(b1-3)GalNAc(a1-Sp8,38.344075,69.3998597225948
,,Gal(b1-3)GalNAc(a1-Sp14,2585.628025,362.97432214275227
,,Gal(b1-3)GalNAc(a1-Sp16,-10.86034999999999,4.140092102437662
GalNAc(b1-4)GlcNAc(b1-Sp,6.4866310160000005,GalNAc(b1-4)GlcNAc(b1-Sp0,16.22855,5.548557067983246
,,GalNAc(b1-4)GlcNAc(b1-Sp8,26.55265,39.41117884073834
Gal(a1-3)Gal(b1-4)Glc(b1-Sp,1.004813665,Gal(a1-3)Gal(b1-4)Glc(b1-Sp0,136.434425,114.09475187426102
,,Gal(a1-3)Gal(b1-4)Glc(b1-Sp10,-6.588875000000002,36.21856984875532
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp,7.457466919,Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,105.70989999999996,98.41411098621312
,,Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp8,16.61445,7.388480190810554
GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp,2.174418605,GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,97.04772500000001,89.86843851039052
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp,5.798951048999999,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,233.93607500000007,145.78553402031756
,,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp8,-5.18995000000001,12.058562505401152
,,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,16.210724999999996,24.956640843053474
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp,2.8700368839999997,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,-5.412649999999999,37.752779537097204
,,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,80.03289999999998,31.503118103557206
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp,5.135135135,Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,130.72105000000002,114.9758387726308
Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp,3.164722032,,,
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp,5.821782177999999,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,38.21045,70.7591153894912
Fuc(a1-2)Gal(b1-Sp,0.583278596,Fuc(a1-2)Gal(b1-Sp8,34.97549999999998,85.53496024515343
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp,1.506387509,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,47.12112500000001,54.343639024843554
,,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,-27.115175000000008,20.199024468254972
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp,0.727199354,,,
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp,0.7595902790000001,,,
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp,4.175962294,,,
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp,9.380825566,,,
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,6.3636363639999995,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,-21.583149999999982,7.742711883442368
,,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,116.65412499999996,119.61756590036926
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,2.831827309,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,5.58742500000001,14.713558637613826
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,5.752390057,,,
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,5.752390057,,,
Gal(b1-3)GlcNac(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNac(b1-Sp,2.005343511,,,
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,1.134572072,,,
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp,10.04065041,Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp0 ,89.06790000000001,38.28475037618319
,,Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8 ,14.044025000000005,45.20119189213009
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,1.4186584430000002,,,
Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,0.896794515,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,106.92375,62.70962599136313
Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,4.232804233,,,
Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,1.7179487180000002,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,65.72032499999995,30.72212002280834
,,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,-0.20319999999999538,7.672899868150682
