IUPAC (CFG),Average RFU,StDev
(3S)Gal(b1-4)Glc(b1-Sp8,14658.368050000001,429.2906808921744
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,28583.265799999994,1749.3057255788726
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,27769.830174999996,2106.866806766305
(3S)Gal(b1-3)GalNAc(a1-Sp8,41073.73435,429.95822260198685
(3S)Gal(b1-3)GlcNAc(b1-Sp0,36489.856475,1547.533926917602
(3S)Gal(b1-3)GlcNAc(b1-Sp8,33772.84724999999,816.503026337241
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,23288.703799999996,1619.9189029350089
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,24028.327100000002,2368.9578037012
(3S)Gal(b1-4)GlcNAc(b1-Sp0,23410.186849999995,1330.3770959922979
(3S)Gal(b1-4)GlcNAc(b1-Sp8,14430.26135,748.5746352252615
(3S)Gal(b1-Sp8,29993.296775000003,647.923964233597
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp14,19460.635425,756.652181205092
Neu5Ac(a2-3)Gal(b1-3)GalNAc(a1-Sp8,36853.06232499999,1861.1418013849295
Neu5Ac(a2-3)Gal(b1-3)GalNAc(a1-Sp14,28505.906675,2233.2980813646054
Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,17354.785324999997,911.6965874312109
Neu5Ac(a2-3)Gal(b1-3)(6S)GalNAc(a1-Sp8,41978.23287500001,1481.1997495230812
Neu5Ac(a2-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc(a1-Sp8,40473.49792499999,1982.4403907902888
Neu5Ac(a2-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc(a1-Sp14,30933.048375000006,2038.453552642467
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc(a1-Sp14,34862.952825,2628.2916424997206
Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc(b1-Sp14,10602.335449999999,630.1418006841421
KDN(a2-3)Gal(b1-3)GalNAc(a1-Sp14,16664.74815,4059.201110179815
GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc(a1-Sp14,29202.64565000001,1761.1505985025494
