IUPAC (LiGA),total,IUPAC (CFG),Average RFU,StDev
Gal(b1-P4,1.862551237,Gal(b1-Sp8,13.279700000000002,12.206133587941215
Gal(b1-4)Glc(b1-Sp,1.862826871,Gal(b1-4)Glc(b1-Sp0,3.3354999999999997,2.9684232245419375
,,Gal(b1-4)Glc(b1-Sp8,20.956899999999997,9.6832168095112
Gal(b1-4)Glc(b1-Sp,1.862826871,,,
Gal(b1-4)Glc(b1-P4,0.7478130340000001,,,
Gal(b1-3)GlcNAc(b1-Sp,4.004340278,Gal(b1-3)GlcNAc(b1-Sp0,20.571074999999986,41.872328472423185
,,Gal(b1-3)GlcNAc(b1-Sp8,7.561724999999996,10.58104867026417
Gal(b1-3)GalNAc(a1-Thr,5.674473067999999,Gal(b1-3)GalNAc(a1-Sp8,7.570750000000004,8.416913596047744
,,Gal(b1-3)GalNAc(a1-Sp14,6.269250000000001,10.995544016706646
,,Gal(b1-3)GalNAc(a1-Sp16,5.439524999999998,1.963261766168732
GalNAc(b1-4)GlcNAc(b1-Sp,1.419786096,GalNAc(b1-4)GlcNAc(b1-Sp0,232.87672500000002,28.79218589749354
,,GalNAc(b1-4)GlcNAc(b1-Sp8,318.52752499999997,21.431294297106696
Gal(a1-3)Gal(b1-4)Glc(b1-Sp,0.616614907,Gal(a1-3)Gal(b1-4)Glc(b1-Sp0,-1.038174999999999,5.575868266243388
,,Gal(a1-3)Gal(b1-4)Glc(b1-Sp10,1.5159500000000037,5.144002360354535
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp,6.4612476370000005,Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,1.4021250000000016,5.7410897492694515
,,Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp8,11.340024999999997,7.219514384118972
GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp,1.279069767,GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,-2.5993249999999986,3.81218373234642
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp,6.019230769,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,25.196399999999997,6.0871586732509
,,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp8,31.762050000000002,9.49798329804804
,,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,14.090900000000003,3.6142200375737965
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp,2.086461271,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,11.518275,11.528151875120018
,,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,15.320999999999998,7.581683020279873
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp,4.138314785,Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,9.318575,12.694123857484877
Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp,2.3198352780000002,,,
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp,2.613861386,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,19.934825000000004,17.614805063615282
Fuc(a1-2)Gal(b1-Sp,0.399455757,Fuc(a1-2)Gal(b1-Sp8,6.790399999999998,4.085053672434
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp,0.7700496809999999,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,4.797999999999998,5.368427769220087
,,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,11.938699999999999,18.924474701824618
