IUPAC (LiGA),total,IUPAC (CFG),Average RFU,StDev
Gal(b1-P4,1.396218254,Gal(b1-Sp8,18.367849999999997,14.767921153297102
Gal(b1-4)Glc(b1-Sp,1.449917343,Gal(b1-4)Glc(b1-Sp0,10.793525,5.741388569777059
,,Gal(b1-4)Glc(b1-Sp8,5.0396,1.0458976081178597
Gal(b1-4)Glc(b1-Sp,1.449917343,,,
Gal(b1-4)Glc(b1-P4,0.494590817,,,
Gal(b1-3)GlcNAc(b1-Sp,1.7274305559999998,Gal(b1-3)GlcNAc(b1-Sp0,15.006525,9.95292933206936
,,Gal(b1-3)GlcNAc(b1-Sp8,4.340250000000001,6.3355324619693
Gal(b1-3)GalNAc(a1-Thr,1.81498829,Gal(b1-3)GalNAc(a1-Sp8,34.5225,34.794842440990244
,,Gal(b1-3)GalNAc(a1-Sp14,7.37425,9.106645476244257
,,Gal(b1-3)GalNAc(a1-Sp16,34.69817499999999,31.435027775118943
GalNAc(b1-4)GlcNAc(b1-Sp,1.020053476,GalNAc(b1-4)GlcNAc(b1-Sp0,29.266899999999993,13.454960190204945
,,GalNAc(b1-4)GlcNAc(b1-Sp8,24.813624999999988,12.834385497139017
Gal(a1-3)Gal(b1-4)Glc(b1-Sp,0.588819876,Gal(a1-3)Gal(b1-4)Glc(b1-Sp0,8.298625,3.3698812247862207
,,Gal(a1-3)Gal(b1-4)Glc(b1-Sp10,17.433349999999994,12.340697417758328
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp,1.899810964,Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,16.727625000000003,13.85431207371313
,,Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp8,19.213,14.51297945771303
GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp,0.86744186,GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,2.058625,3.2965036997552426
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp,1.631118881,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,21.494100000000007,5.204639888279119
,,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp8,8.047899999999998,7.011709319417061
,,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,9.20515,9.339076938149011
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp,1.6906053369999998,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,15.992549999999996,13.243925169802695
,,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,15.686150000000001,9.398300172726264
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp,1.386327504,Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,16.551499999999997,7.685410251899378
Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp,1.317776253,,,
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp,0.955445545,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,8.66385,5.228934204660319
Fuc(a1-2)Gal(b1-Sp,0.275875012,Fuc(a1-2)Gal(b1-Sp8,15.0731,17.76782108982415
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp,0.6564939670000001,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,9.44085,9.081055559973922
,,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,8.626899999999978,10.314662553216367
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp,1.017352704,,,
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp,1.101425989,,,
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp,1.885703064,,,
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp,1.749667111,,,
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,1.2272727270000001,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,4.806724999999998,8.22514187167411
,,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,2.376175000000001,5.871139410355824
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,1.323125837,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,12.679749999999993,3.9680511728051364
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,1.363288719,,,
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,1.363288719,,,
Gal(b1-3)GlcNac(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNac(b1-Sp,1.1106870229999999,,,
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,0.345720721,,,
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp,1.3170731709999999,Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp0 ,15.957275000000003,15.302135936392439
,,Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8 ,0.4118000000000013,3.0609375067126123
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,0.9327679259999999,,,
Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,2.002408746,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,31.34165,11.731130344088758
Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,1.588057445,,,
Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,0.429487179,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,2.5004250000000035,7.398398334943859
,,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,8.332275000000001,7.907178953067477
Neu5Ac(a2-6)GalNAc(a1-Thr,1.235023041,,,
Gal(b1-3)[Neu5Ac(a2-6)]GalNAc(a1-Thr,1.086956522,,,
Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp,1.399362477,,,
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp,1.111523103,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp0,7.683650000000004,10.127193096641665
,,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp8,9.754,9.225689014557855
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp,1.111523103,,,
Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-Sp,0.348690154,Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-Sp0,10.665524999999999,4.375837870530246
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-Sp,0.41755983799999996,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-Sp0,8.881174999999999,4.9417244017144535
,,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-Sp8,15.214825,19.208321349591348
Neu5Ac(a2-6)GalNAc(b1-4)GlcNAc(b1-Sp,0.967277596,Neu5Ac(a2-6)GalNAc(b1-4)GlcNAc(b1-Sp0,25.465750000000014,23.602759995178502
Neu5Gc(a2-3)Gal(b1-3)GlcNAc(b1-Sp,1.06974359,Neu5Gc(a2-3)Gal(b1-3)GlcNAc(b1-Sp0,22.0561,11.884480213006075
"Neu5,9Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp",0.9614565829999999,"Neu5,9Ac2(a2-3)Gal(b1-4)GlcNAc(b1-Sp0",41.0294,13.740384748615998
,,"Neu5,9Ac2(a2-3)Gal(b1-4)GlcNAc(b1-Sp0",41.0294,13.740384748615998
Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-4)GlcNAc(b1-Sp,1.6491485609999998,,,
