IUPAC (LiGA),total,IUPAC (CFG),Average RFU,StDev
Gal(b1-P4,1.45100826,Gal(b1-Sp8,-13.437325,8.41256934
Gal(b1-4)Glc(b1-Sp,1.22396303,Gal(b1-4)Glc(b1-Sp0,-0.479875,6.724109207
,,Gal(b1-4)Glc(b1-Sp8,-14.489825,7.695157559
Gal(b1-4)Glc(b1-Sp,1.22396303,,,
Gal(b1-4)Glc(b1-P4,0.61079766,,,
Gal(b1-3)GlcNAc(b1-Sp,3.427951389,Gal(b1-3)GlcNAc(b1-Sp0,-22.586775,7.701364299
,,Gal(b1-3)GlcNAc(b1-Sp8,-11.420625,1.927236962
Gal(b1-3)GalNAc(a1-Thr,3.180327869,Gal(b1-3)GalNAc(a1-Sp8,-10.3423,25.72876901
,,Gal(b1-3)GalNAc(a1-Sp14,-18.338475,16.2450768
,,Gal(b1-3)GalNAc(a1-Sp16,-32.224,9.599911683
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp,10.90548204,Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,1.4428,9.38683328
,,GalNAc(a1-Sp8,16712.78783,1368.740267
,,GalNAc(a1-3)GalNAc(b1-Sp8,20817.68108,722.2783616
GalNAc(b1-4)GlcNAc(b1-Sp,13.02941176,GalNAc(b1-4)GlcNAc(b1-Sp0,25314.4549,916.5393844
,,GalNAc(b1-4)GlcNAc(b1-Sp8,15150.8625,544.2674356
,,GalNAc(b1-4)GlcNAc(b1-Sp0,25314.4549,916.5393844
,,GalNAc(b1-4)GlcNAc(b1-Sp8,15150.8625,544.2674356
,,GalNAc(a1-3)Gal(b1-Sp8,23039.50745,497.7629779
,,GalNAc(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,12885.74318,1269.182241
,,GalNAc(b1-4)GlcNAc(b1-3)GalNAc(b1-4)GlcNAc(b1-Sp0 ,37966.8586,2940.643079
,,GalNAc(a1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,29532.9745,1250.912682
,,GalNAc(b1-4)GlcNAc(b1-2)Man(a1-Sp0,32310.013,3158.798886
,,Gal(a1-4)Gal(b1-3)GlcNAc(b1-2)Man(a1-6)[Gal(a1-4)Gal(b1-3)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp19,21640.06103,522.7074144
,,GalNAc(a1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,26708.48992,5285.493235
,,GalNAc(b1-4)(6S)GlcNAc(c1-Sp8,7865.065325,208.5561874
Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp,10.71997255,,,
Gal(a1-3)Gal(b1-4)Glc(b1-Sp,0.972826087,Gal(a1-3)Gal(b1-4)Glc(b1-Sp0,-19.984975,20.97080843
,,Gal(a1-3)Gal(b1-4)Glc(b1-Sp10,-18.8902,2.249221704
,,Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp8,132.84225,43.0129012
GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp,0.695348837,GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,-20.631775,12.21251687
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp,3.274475524,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,-18.71875,6.778677003
,,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp8,-26.608625,1.096730266
,,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,-8.008475,2.398185766
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp,1.644716858,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,-37.346175,25.01174413
,,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,-18.7729,11.91522163
