IUPAC (CFG),Average RFU,StDev
GalNAc(a1-Sp8,16712.78783,1368.740267
GalNAc(a1-3)GalNAc(b1-Sp8,20817.68108,722.2783616
GalNAc(a1-3)Gal(b1-Sp8,23039.50745,497.7629779
GalNAc(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,12885.74318,1269.182241
GalNAc(b1-4)GlcNAc(b1-Sp0,25314.4549,916.5393844
GalNAc(b1-4)GlcNAc(b1-Sp8,15150.8625,544.2674356
GalNAc(a1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,29532.9745,1250.912682
Gal(a1-4)Gal(b1-3)GlcNAc(b1-2)Man(a1-6)[Gal(a1-4)Gal(b1-3)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp19,21640.06103,522.7074144
GalNAc(a1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,26708.48992,5285.493235
GalNAc(b1-4)(6S)GlcNAc(c1-Sp8,7865.065325,208.5561874
GalNAc(b1-4)GlcNAc(b1-2)Man(a1-Sp0,32310.013,3158.798886
GalNAc(b1-4)GlcNAc(b1-3)GalNAc(b1-4)GlcNAc(b1-Sp0 ,37966.8586,2940.643079
