IUPAC (LiGA),total,IUPAC (CFG),Average RFU,StDev
Gal(b1-P4,2.120867577,Gal(b1-Sp8,-11.101325000000001,5.6032468559904345
Gal(b1-4)Glc(b1-Sp,2.195897205,Gal(b1-4)Glc(b1-Sp0,-4.507850000000001,4.1305682212015356
,,Gal(b1-4)Glc(b1-Sp8,3.6252750000000002,6.466745792836356
Gal(b1-4)Glc(b1-Sp,2.195897205,,,
Gal(b1-4)Glc(b1-P4,3.1281122210000003,,,
Gal(b1-3)GlcNAc(b1-Sp,2.503472222,Gal(b1-3)GlcNAc(b1-Sp0,-8.0202,4.44604235472403
,,Gal(b1-3)GlcNAc(b1-Sp8,-4.465175000000001,4.408525617766102
Gal(b1-3)GalNAc(a1-Thr,0.454332553,Gal(b1-3)GalNAc(a1-Sp8,2.764750000000001,9.599216448752468
,,Gal(b1-3)GalNAc(a1-Sp14,177.25367500000004,286.00982178313825
,,Gal(b1-3)GalNAc(a1-Sp16,-0.4735250000000004,2.2644142441626403
GalNAc(b1-4)GlcNAc(b1-Sp,5.439839572,GalNAc(b1-4)GlcNAc(b1-Sp0,-20.770975000000004,17.245850391205224
,,GalNAc(b1-4)GlcNAc(b1-Sp8,5.276275,13.672528298349452
Gal(a1-3)Gal(b1-4)Glc(b1-Sp,3.061645963,Gal(a1-3)Gal(b1-4)Glc(b1-Sp0,2.7849250000000003,7.788976874350487
,,Gal(a1-3)Gal(b1-4)Glc(b1-Sp10,45.172049999999956,38.91576187275097
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp,0.54442344,Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,2.191325000000001,2.8929479375140277
,,Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp8,-5.453149999999998,3.0067766755558463
GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp,2.2023255809999998,GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,2.662449999999999,1.6559303135498569
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp,0.655594406,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,7.028825000000001,10.590895001328573
,,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp8,7.900074999999998,11.706573336769676
,,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,7.399899999999999,4.927144167432759
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp,3.876437405,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,-0.286875,18.69955291860832
,,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,-11.316474999999997,4.5116041990811615
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp,2.535771065,Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,19.0706,32.8221037413306
Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp,2.955387783,,,
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp,1.153465347,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,-1.5002750000000002,3.366102061608748
Fuc(a1-2)Gal(b1-Sp,1.6859341280000002,Fuc(a1-2)Gal(b1-Sp8,78.0979,35.911257714352836
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp,3.403832505,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,23.489875000000005,16.678263272370415
,,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,-2.45195,12.977823737052383
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp,0.762308313,,,
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp,0.879493874,,,
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp,0.978397486,,,
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp,1.094540613,,,
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,0.954545455,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,-2.130075,1.4057157640030464
,,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,-2.3398749999999993,5.539219863467532
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,1.1032463190000001,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,-0.2628750000000011,7.5172404370996855
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,0.95124283,,,
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,0.95124283,,,
Gal(b1-3)GlcNac(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNac(b1-Sp,3.84351145,,,
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,2.186373874,,,
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp,0.162601626,Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp0 ,-2.2982000000000014,12.446366922118242
,,Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8 ,-9.30125,2.2665888268497123
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,1.155589823,,,
Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,0.9948119329999999,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,-3.818850000000001,5.654991134976844
Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,0.784580499,,,
Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,1.634615385,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,18.315625,8.882899102348288
,,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,12.290549999999996,14.871680953745624
Neu5Ac(a2-6)GalNAc(a1-Thr,0.5207373270000001,,,
Gal(b1-3)[Neu5Ac(a2-6)]GalNAc(a1-Thr,1.217391304,,,
Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp,1.631754706,,,
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp,1.361095265,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp0,-3.5971000000000686,1.9716257775396675
,,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp8,11.889024999999997,35.67045509245012
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp,1.361095265,,,
Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-Sp,2.506775068,Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-Sp0,13.996775000000001,12.935757372073988
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-Sp,19.183317600000002,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-Sp0,35862.812150000005,3459.9600118530425
,,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-Sp8,32551.621700000003,1409.8622505136764
Neu5Ac(a2-6)GalNAc(b1-4)GlcNAc(b1-Sp,11.9299523,Neu5Ac(a2-6)GalNAc(b1-4)GlcNAc(b1-Sp0,36335.767674999996,2149.672161203915
Neu5Gc(a2-3)Gal(b1-3)GlcNAc(b1-Sp,1.300854701,Neu5Gc(a2-3)Gal(b1-3)GlcNAc(b1-Sp0,-5.6621500000000005,2.937034043044108
"Neu5,9Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp",1.45557423,"Neu5,9Ac2(a2-3)Gal(b1-4)GlcNAc(b1-Sp0",29.037450000000007,20.252996508747376
,,"Neu5,9Ac2(a2-3)Gal(b1-4)GlcNAc(b1-Sp0",29.037450000000007,20.252996508747376
Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-4)GlcNAc(b1-Sp,1.510569583,,,
Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp,1.103448276,Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,-4.510950000000002,6.8759286822460135
Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp,1.527502806,Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,-4.020650000000001,2.3845200837904477
Neu5Ac(a2-3)[Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)]Gal(b1-4)Glc(b1-Sp,2.33951098,,,
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp,0.5870967739999999,Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp0,20.822300000000002,26.970768440171174
Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp,1.03924593,,,
Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-4)Glc(b1-Sp,1.336673347,,,
Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-4)Glc(b1-Sp,1.056603774,,,
KDN(a2-3)Gal(b1-4)GlcNAc(b1-Sp,1.152597935,KDN(a2-3)Gal(b1-4)GlcNAc(b1-Sp0,-2.509025000000001,8.099098609258887
Man(a1-6)[Man(a1-3)]Man(a1-S6,1.388935799,Man(a1-6)[Man(a1-3)]Man(a1-Sp9,0.013500000000000956,2.78709338559009
Man(a1-S6,0.780793466,Man(a1-Sp8,110.96955000000003,232.27044723411694
Man(b1-S0,0.956477127,Man(b1-Sp8,89.25880000000002,57.81876424616262
Man(b1-S0,0.956477127,,,
Man(b1-S0,0.956477127,,,
Galf(b1-S8,0.32109235,,,
Galf(b1-5)Galf(b1-S8,0.985185185,,,
Galf(b1-5)Galf(b1-5)Galf(b1-S8,1.020997669,,,
Galf(b1-5)Galf(b1-5)Galf(b1-5)Galf(b1-S8,0.945578315,,,
Galf(b1-5)Galf(b1-5)Galf(b1-5)Galf(b1-S8,0.945578315,,,
Galf(b1-5)Galf(b1-5)Galf(b1-5)Galf(b1-S8,0.945578315,,0.0,0.0
