IUPAC (CFG),Average RFU,StDev
(3S)Gal(b1-4)Glc(b1-Sp8,14851.050375,792.7415742921868
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,15964.396375,551.3570377113183
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,20253.33105,1284.9768506030284
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,17099.936974999997,700.593850206793
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,19386.752350000002,1057.3063313416108
(3S)Gal(b1-4)GlcNAc(b1-Sp0,14109.9424,1578.698489045726
(3S)Gal(b1-4)GlcNAc(b1-Sp8,16603.387849999996,645.2187917384194
"Neu5,9Ac2(a2-6)Gal(b1-4)GlcNAc(b1-Sp8",45574.370200000005,5211.296616917472
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,28263.841874999995,3674.6574834842577
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,37416.967775,2712.691340928064
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp21,35093.69249999999,5083.444907562155
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24,40409.839575,2209.316219075009
Neu5Ac(a2-6)GalNAc(b1-4)GlcNAc(b1-Sp0,36335.767674999996,2149.672161203915
Neu5Ac(a2-6)Gal(b1-4)(6S)GlcNAc(b1-Sp8,51133.71097500001,2148.5088178227165
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-Sp0,35862.812150000005,3459.9600118530425
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-Sp8,32551.621700000003,1409.8622505136764
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,40448.80130000001,2487.3168286067184
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,27682.214224999996,1205.7027778191439
Neu5Ac(a2-6)Gal(b1-4)Glc(b1-Sp8,25380.409450000003,2607.499073610297
Neu5Ac(a2-6)Gal(b1-Sp8,20445.758425,491.4567740051653
Neu5Gc(a2-6)Gal(b1-4)GlcNAc(b1-Sp0,31718.354975000002,1015.4855340726017
(6S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,14298.433299999997,941.3378147856087
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,40177.843024999995,3346.6459535168324
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,29795.380525000008,2732.632397467438
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,32075.096974999997,1590.7919702956842
Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,34572.807725,1444.4523438195533
GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,30736.258625,2438.1005403760373
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,40227.72104999999,2397.284931569976
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)GlcNAc(b1-Sp0,38016.4571,1033.5250518257412
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,38666.65145,2432.1477719619966
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,33239.011974999994,3313.2586906184038
Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,33944.040075,830.836289312626
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,35156.89665000001,1387.520017801745
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,36960.2405,2052.8787572307156
KDN(a2-6)Gal(b1-4)GlcNAc(b1-Sp0,33201.73795,1266.6776418656318
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)GalNAc(b1-Sp14,27491.053775,961.4334478826271
Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-6)Gal(b1-3)GlcNAc(b1-3)]Gal(b1-4)Glc(b1-Sp21,28973.809199999996,2555.4685251995734
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)]Gal(b1-4)Glc(b1-Sp21,27123.841475,2768.7252892561314
