IUPAC (LiGA),total,IUPAC (CFG),Average RFU,StDev
Gal(b1-P4,1.563286576,Gal(b1-Sp8,13.15915,3.599357928
Gal(b1-4)Glc(b1-Sp,1.596558461,Gal(b1-4)Glc(b1-Sp0,4.018575,5.950413781
,,Gal(b1-4)Glc(b1-Sp8,3.554275,8.383101819
Gal(b1-4)Glc(b1-Sp,1.235845373,,,
Gal(b1-4)Glc(b1-P4,0.553858895,,,
Gal(b1-3)GlcNAc(b1-Sp,1.666666667,Gal(b1-3)GlcNAc(b1-Sp0,-3.875275,3.320433228
,,Gal(b1-3)GlcNAc(b1-Sp8,-14.471325,6.297678859
Gal(b1-3)GalNAc(a1-Thr,2.210772834,Gal(b1-3)GalNAc(a1-Sp8,-6.341175,9.329501254
,,Gal(b1-3)GalNAc(a1-Sp14,9.7737,9.585553977
,,Gal(b1-3)GalNAc(a1-Sp16,-6.215175,5.295865992
GalNAc(b1-4)GlcNAc(b1-Sp,3.32486631,GalNAc(b1-4)GlcNAc(b1-Sp0,-11.995175,8.955575123
,,GalNAc(b1-4)GlcNAc(b1-Sp8,70.322,8.183367549
Gal(a1-3)Gal(b1-4)Glc(b1-Sp,0.978726708,Gal(a1-3)Gal(b1-4)Glc(b1-Sp0,-5.948175,9.256842794
,,Gal(a1-3)Gal(b1-4)Glc(b1-Sp10,-5.568175,10.88596069
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp,2.684310019,Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,10.1358,12.36476859
,,Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp8,-10.88315,14.25758598
GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp,2.095348837,GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,12.001875,19.46788544
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp,3.246503497,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,-4.487075,8.943646939
,,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp8,-9.32775,9.65600886
,,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,-0.5441,1.58017603
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp,2.068127576,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,-0.22885,4.841861766
,,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,-5.320125,8.510011274
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp,1.448330684,Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,2.6141,3.193736517
Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp,1.432395333,,,
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp,1.178217822,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,13.656325,47.22590864
Fuc(a1-2)Gal(b1-Sp,5.855681712,Fuc(a1-2)Gal(b1-Sp8,1182.279325,300.9425706
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp,10.40347764,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,24.697375,9.008130931
,,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,9.47495,11.70594573
,,Fuc(a1-2)Gal(b1-4)Glc(b1-Sp0,18625.87378,591.1130955
,,Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp0,25335.62675,1237.385245
,,Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp8,33228.12387,1268.567778
,,Gal(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,46999.25755,15343.78518
,,GalNAc(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,36186.71323,2296.955847
,,Fuc(a1-2)(6S)Gal(b1-4)Glc(b1-Sp0,30862.9727,1836.263667
,,Fuc(a1-2)Gal(b1-4)(6S)Glc(b1-Sp0,48271.43258,17957.75628
,,Fuc(a1-2)(6S)Gal(b1-4)GlcNAc(b1-Sp0,19686.18155,1432.2337
,,Fuc(a1-2)Gal(b1-4)(6S)GlcNAc(b1-Sp8,34879.39082,1729.4347
,,Fuc(a1-2)(6S)Gal(b1-4)(6S)Glc(b1-Sp0,30919.58323,2046.27778
,,Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp14,21904.7819,1239.725707
,,Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,5943.967825,413.6428939
,,Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)]GalNAc(b1-Sp14,24633.17863,3370.867556
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp,0.860371267,,,
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp,0.919863426,,,
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp,24.96622152,,,
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp,19.65645806,,,
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,1.863636364,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,25156.11395,1846.225105
